date,btc_close,strategy_equity,spot_hodl,lev3x_hodl
2022-09-01,20127.140625,6998.95,7000.0,6993.7
2022-09-02,19969.771484375,6979.810972905065,6945.268729180204,6823.255445684349
2022-09-03,19832.087890625,6932.613797037865,6897.38387687024,6673.393243265275
2022-09-04,19986.712890625,7008.379339388832,6951.160765508637,6828.46786449151
2022-09-05,19812.37109375,6874.436427554217,6890.526589951224,6640.363863888314
2022-09-06,18837.66796875,6001.389380927187,6551.5354733231015,5617.494132077955
2022-09-07,19290.32421875,6399.345246600989,6708.964380341532,6083.74278519094
2022-09-08,19329.833984375,6429.366152395902,6722.7054459269475,6118.915547045851
2022-09-09,21381.15234375,8250.43959638085,7436.131599356279,8252.501488894428
2022-09-10,21680.5390625,8511.26389094434,7540.255034984632,8558.085566248
2022-09-11,21769.255859375,8584.45401512698,7571.10976938012,8643.835770642021
2022-09-12,22370.44921875,9113.86555959028,7780.19826307295,9264.099073283744
2022-09-13,20296.70703125,7261.687980468106,7058.973346779108,7094.071248390118
2022-09-14,20241.08984375,7206.750860783358,7039.630295535335,7029.706427392817
2022-09-15,19701.2109375,6720.702450632999,6851.866299935488,6460.247760923335
2022-09-16,19772.583984375,6778.980668681235,6876.689067234308,6528.527042659283
2022-09-17,20127.576171875,7089.7388768378105,7000.151478452991,6892.614139984723
2022-09-18,19419.505859375,6453.984172557971,6753.892346078095,6147.7582397485685
2022-09-19,19544.12890625,6559.7448006781715,6797.234882625063,6271.6683379951055
2022-09-20,18890.7890625,5972.871145183327,6570.010410383367,5584.0819119006765
2022-09-21,18547.400390625,5662.1138477453605,6450.583575349517,5219.995881581308
2022-09-22,19413.55078125,6428.270798807718,6751.821234853125,6117.632220980767
2022-09-23,19297.638671875,6319.8905580079445,6711.508267365971,5990.652961078676
2022-09-24,18937.01171875,5993.677753002899,6586.086146116446,5608.459119798594
2022-09-25,18802.09765625,5868.507859967593,6539.1645065703415,5461.808953104368
2022-09-26,19222.671875,6237.91139517399,6685.435633011085,5894.605440356889
2022-09-27,19110.546875,6132.9537192654525,6646.439780861818,5771.636088106314
2022-09-28,19426.720703125,6409.32978031774,6756.401590048264,6095.440754234605
2022-09-29,19573.05078125,6534.413710282617,6807.293595324099,6241.990205826322
2022-09-30,19431.7890625,6403.422731055399,6758.164310162661,6088.520002462861
2022-10-01,19312.095703125,6291.671264951805,6716.536265164342,5957.590984829255
2022-10-02,19044.107421875,6047.9285002849865,6623.332863662794,5672.019780747313
2022-10-03,19623.580078125,6558.730701592145,6824.867133697736,6270.480210431811
2022-10-04,20336.84375,7188.48889903051,7072.932459823761,7008.310549596046
2022-10-05,20160.716796875,7026.254212864796,7011.677426391758,6818.234939616285
2022-10-06,19955.443359375,6838.118192003184,6940.285563569713,6597.813094142939
2022-10-07,19546.849609375,6469.026001329097,6798.181113499573,6165.381380930368
2022-10-08,19416.568359375,6347.81765997381,6752.870715614877,6023.372603632224
2022-10-09,19446.42578125,6369.211596764351,6763.254801313836,6048.437931407919
2022-10-10,19141.484375,6092.534497119216,6657.199505953171,5724.2805657705685
2022-10-11,19051.41796875,6007.236728201557,6625.875392136085,5624.344936466387
2022-10-12,19157.4453125,6096.540404239397,6662.750545943482,5728.973922397231
2022-10-13,19382.904296875,6292.14276933535,6741.16272182229,5958.143403584015
2022-10-14,19185.65625,6111.359356372686,6672.562002333602,5746.335939315851
2022-10-15,19067.634765625,6001.162076450608,6631.515417226584,5617.22782011929
2022-10-16,19268.09375,6174.531558113277,6701.232865758844,5820.349056136887
2022-10-17,19550.7578125,6421.0326186319535,6799.540343923046,6109.151904319961
2022-10-18,19334.416015625,6223.205671314775,6724.299026423431,5877.3760826973385
2022-10-19,19139.53515625,6044.542660695647,6656.52158893037,5668.052900788116
2022-10-20,19053.740234375,5963.048208708675,6626.68305079351,5572.573271631823
2022-10-21,19172.46875,6063.658801364383,6667.975533658298,5690.449542245896
2022-10-22,19208.189453125,6090.337885752021,6680.398804630253,5721.706996237591
