date,btc,v9a_eq,v9a_lev
2019-08-29,9510.2001953125,10616.817370879,2.0
2019-08-30,9598.173828125,10751.925537865709,2.0
2019-08-31,9630.6640625,10798.92454026117,2.0
2019-09-01,9757.970703125,10996.407520511708,2.0
2019-09-02,10346.7607421875,11926.329669556479,2.0
2019-09-03,10623.5400390625,12360.725359904622,2.0
2019-09-04,10594.4931640625,12309.559806991016,2.0
2019-09-05,10575.533203125,12274.418768945126,2.0
2019-09-06,10353.302734375,11916.641118696509,2.0
2019-09-07,10517.2548828125,12171.946287283834,2.0
2019-09-08,10441.2763671875,12046.338068174788,2.0
2019-09-09,10334.974609375,11872.634797601404,2.0
2019-09-10,10115.9755859375,11520.100914907842,2.0
2019-09-11,10178.3720703125,11614.322637354117,2.0
2019-09-12,10410.126953125,11977.332530800817,2.0
2019-09-13,10360.546875,11893.676847554885,2.0
2019-09-14,10358.048828125,11884.776783818024,2.0
2019-09-15,10347.712890625,11863.437043404632,2.0
2019-09-16,10276.7939453125,11745.940497042557,2.0
2019-09-17,10241.2724609375,11684.663139803743,2.0
2019-09-18,10198.248046875,11611.493509975957,2.0
2019-09-19,10266.4150390625,11714.835411144628,2.0
2019-09-20,10181.6416015625,11575.386737483333,2.0
2019-09-21,10019.716796875,11313.518216649623,2.0
2019-09-22,10070.392578125,11389.181842298774,2.0
2019-09-23,9729.32421875,10843.016712815219,2.0
2019-09-24,8620.56640625,9078.481850560627,2.0
2019-09-25,8486.9931640625,8862.358557595197,2.0
2019-09-26,8118.9677734375,8274.159491602455,2.0
2019-09-27,8251.845703125,8481.205682674668,2.0
2019-09-28,8245.9150390625,8467.861547018696,2.0
2019-09-29,8104.185546875,8238.970520139304,2.0
2019-09-30,8293.8681640625,8536.188258445389,2.0
2019-10-01,8343.2763671875,8610.661956598191,2.0
2019-10-02,8393.0419921875,8685.679446245304,2.0
2019-10-03,8259.9921875,8470.495366587855,2.0
2019-10-04,8205.939453125,8380.764522083406,2.0
2019-10-05,8151.50048828125,8290.446371306643,2.0
2019-10-06,7988.15576171875,8027.291053953284,2.0
2019-10-07,8245.623046875,8432.156784876257,2.0
2019-10-08,8228.783203125,8401.4997746603,2.0
2019-10-09,8595.740234375,8980.040928224462,2.0
2019-10-10,8586.4736328125,8961.237946012967,2.0
2019-10-11,8321.7568359375,8536.970362633025,2.0
2019-10-12,8336.5556640625,8556.496275005968,2.0
2019-10-13,8321.005859375,8527.843594598846,2.0
2019-10-14,8374.6865234375,8609.085925232772,2.0
2019-10-15,8205.369140625,8336.344067154136,2.0
2019-10-16,8047.52685546875,8081.896963578414,2.0
2019-10-17,8103.9111328125,8167.560929413972,2.0
2019-10-18,7973.20751953125,7956.238614485634,2.0
2019-10-19,7988.560546875,7976.810214526258,2.0
2019-10-20,8222.078125,8343.661046448553,2.0
2019-10-21,8243.720703125,8374.097332938638,2.0
2019-10-22,8078.203125,8107.449181766529,2.0
2019-10-23,7514.671875,7209.123800483744,2.0
2019-10-24,7493.48876953125,7171.9210213294,2.0
2019-10-25,8660.7001953125,9021.0340346619,2.0
2019-10-26,9244.97265625,9944.308214072746,2.0
2019-10-27,9551.71484375,10426.787979022429,2.0
2019-10-28,9256.1484375,9953.093897578221,2.0
2019-10-29,9427.6875,10220.964166144136,2.0
2019-10-30,9205.7265625,9864.161082503997,2.0
2019-10-31,9199.5849609375,9850.027774698225,2.0
2019-11-01,9261.1044921875,9943.294033136473,2.0
2019-11-02,9324.7177734375,10039.854339655252,2.0
2019-11-03,9235.3544921875,9893.568887776684,2.0
2019-11-04,9412.6123046875,10170.52627438666,2.0
2019-11-05,9342.52734375,10054.798899705082,2.0
2019-11-06,9360.8798828125,10079.479300869913,2.0
2019-11-07,9267.5615234375,9926.898838199013,2.0
2019-11-08,8804.880859375,9188.084276203204,2.0
2019-11-09,8813.58203125,9197.701423961516,2.0
2019-11-10,9055.5263671875,9577.534836993147,2.0
2019-11-11,8757.7880859375,9100.62974532518,2.0
2019-11-12,8815.662109375,9188.320028962004,2.0
2019-11-13,8808.2626953125,9172.376027523802,2.0
2019-11-14,8708.0947265625,9009.186594883846,2.0
2019-11-15,8491.9921875,8662.025144442387,2.0
2019-11-16,8550.7607421875,8751.261897860328,2.0
2019-11-17,8577.9755859375,8790.38632752813,2.0
2019-11-18,8309.2861328125,8359.81710481552,2.0
2019-11-19,8206.1455078125,8192.14693210164,2.0
2019-11-20,8027.26806640625,7904.3109382082985,2.0
2019-11-21,7642.75,7290.152483416752,2.0
2019-11-22,7296.57763671875,6737.042255831046,2.0
2019-11-23,7397.796875,6894.229208110653,2.0
2019-11-24,7047.9169921875,6335.350814723962,2.0
2019-11-25,7146.1337890625,6487.8905181514665,2.0
2019-11-26,7218.37109375,6599.146910590707,2.0
2019-11-27,7531.66357421875,7092.989094168339,2.0
2019-11-28,7463.10595703125,6980.581972009116,2.0
2019-11-29,7761.24365234375,7450.25281189971,2.0
2019-11-30,7569.6298828125,7142.412715058466,2.0
2019-12-01,7424.29248046875,6908.117083628094,2.0
2019-12-02,7321.98828125,6742.196090606952,2.0
2019-12-03,7320.1455078125,6735.783464390388,2.0
2019-12-04,7252.03466796875,6624.18625078094,2.0
2019-12-05,7448.3076171875,6932.270540877397,2.0
2019-12-06,7546.99658203125,7085.368987537931,2.0
2019-12-07,7556.23779296875,7096.442485536179,2.0
2019-12-08,7564.34521484375,7105.7119497631575,2.0
2019-12-09,7400.8994140625,6842.675876594309,2.0
2019-12-10,7278.11962890625,6644.265696199156,2.0
2019-12-11,7217.42724609375,6544.463611788076,2.0
2019-12-12,7243.13427734375,6581.829831985614,2.0
2019-12-13,7269.6845703125,6620.522293246933,2.0
2019-12-14,7124.673828125,6386.888031754826,2.0
2019-12-15,7152.3017578125,6427.347421536573,2.0
2019-12-16,6932.48046875,6075.024364723915,2.0
2019-12-17,6640.51513671875,5608.293774302095,2.0
2019-12-18,7276.802734375,6615.092402403872,2.0
2019-12-19,7202.84423828125,6494.234011328241,2.0
2019-12-20,7218.81640625,6516.155299091586,2.0
2019-12-21,7191.15869140625,6468.816475156317,2.0
2019-12-22,7511.5888671875,6974.001086614568,2.0
2019-12-23,7355.62841796875,6722.871433665572,2.0
2019-12-24,7322.5322265625,6666.8350996885865,2.0
2019-12-25,7275.15576171875,6588.147847999357,2.0
2019-12-26,7238.966796875,6527.240771567332,2.0
2019-12-27,7290.08837890625,6604.9365440243255,2.0
2019-12-28,7317.990234375,6645.751937589773,2.0
2019-12-29,7422.65283203125,6808.394239424098,2.0
2019-12-30,7292.9951171875,6599.056550173798,2.0
2019-12-31,7193.59912109375,6437.814207532315,2.0
2020-01-01,7200.17431640625,6444.824344717184,2.0
2020-01-02,6985.47021484375,6100.600854921149,2.0
2020-01-03,7344.88427734375,6667.761483786236,2.0
2020-01-04,7410.65673828125,6768.661739174364,2.0
2020-01-05,7411.3173828125,6766.180483950213,2.0
2020-01-06,7769.21923828125,7330.7379870316545,2.0
2020-01-07,8163.6923828125,7953.173606196898,2.0
2020-01-08,8079.86279296875,7816.224654252914,2.0
2020-01-09,7879.0712890625,7493.665227874926,2.0
2020-01-10,8166.55419921875,7946.225888076962,2.0
2020-01-11,8037.53759765625,7737.551481660885,2.0
2020-01-12,8192.494140625,7979.681230868163,2.0
2020-01-13,8144.1943359375,7899.114003190123,2.0
2020-01-14,8827.7646484375,8980.246934730152,2.0
2020-01-15,8807.0107421875,8943.09995323287,2.0
2020-01-16,8723.7861328125,8806.804841670491,2.0
2020-01-17,8929.0380859375,9128.440224407019,2.0
2020-01-18,8942.80859375,9146.044649460391,2.0
2020-01-19,8706.2451171875,8766.294320026336,2.0
2020-01-20,8657.642578125,8685.001858245778,2.0
2020-01-21,8745.89453125,8820.957889501966,2.0
2020-01-22,8680.8759765625,8713.589855108028,2.0
2020-01-23,8406.515625,8273.97035849198,2.0
2020-01-24,8445.4345703125,8331.741091679658,2.0
2020-01-25,8367.84765625,8204.566765254209,2.0
2020-01-26,8596.830078125,8564.038405581097,2.0
2020-01-27,8909.8193359375,9056.742698339925,2.0
2020-01-28,9358.58984375,9764.819721495012,2.0
2020-01-29,9316.6298828125,9693.760112039941,2.0
2020-01-30,9508.9931640625,9994.655277073995,2.0
2020-01-31,9350.529296875,9738.600605398573,2.0
2020-02-01,9392.875,9801.360879369247,2.0
2020-02-02,9344.365234375,9719.888615602358,2.0
2020-02-03,9293.521484375,9634.734789518545,2.0
2020-02-04,9180.962890625,9451.646920538788,2.0
2020-02-05,9613.423828125,10133.707062424906,2.0
2020-02-06,9729.8017578125,10312.306566726234,2.0
2020-02-07,9795.943359375,10392.586716524293,2.0
2020-02-08,9865.119140625,10476.694517884964,2.0
2020-02-09,10116.673828125,10792.363945673636,2.0
2020-02-10,9856.611328125,10458.276890540741,2.0
2020-02-11,10208.236328125,10901.020627136139,2.0
2020-02-12,10326.0546875,11046.738533157635,2.0
