date,pw5_btc,pw5_strategy,pw5_lev
2018-09-01,7193.25,7000.0,1.5
2018-09-02,7272.72021484375,7000.0,1.5
2018-09-03,7260.06005859375,7000.0,1.5
2018-09-04,7361.66015625,7000.0,1.5
2018-09-05,6792.830078125,7000.0,1.5
2018-09-06,6529.169921875,6999.601895734597,1.5
2018-09-07,6467.06982421875,6991.792423936972,1.5
2018-09-08,6225.97998046875,6962.164623449168,1.5
2018-09-09,6300.85986328125,6971.065442797424,1.5
2018-09-10,6329.7001953125,6974.350851243419,1.5
2018-09-11,6321.2001953125,6973.083052937199,1.5
2018-09-12,6351.7998046875,6976.582190368132,1.5
2018-09-13,6517.31005859375,6995.929978931517,1.5
2018-09-14,6512.7099609375,6993.929733417636,1.5
2018-09-15,6543.2001953125,7002.636222652768,1.5
2018-09-16,6517.18017578125,6994.098233886003,1.5
2018-09-17,6281.2001953125,6921.502328043287,1.5
2018-09-18,6371.2998046875,6948.417264768332,1.5
2018-09-19,6398.5400390625,6956.14510300875,1.5
2018-09-20,6519.669921875,6991.621121929094,1.5
2018-09-21,6734.9501953125,7115.307086524674,1.5
2018-09-22,6721.97998046875,7106.615068580669,1.5
2018-09-23,6710.6298828125,7098.864657645436,1.5
2018-09-24,6595.41015625,7030.892204748266,1.5
2018-09-25,6446.47021484375,6943.38868696125,1.5
2018-09-26,6495.0,6970.404802987849,1.5
2018-09-27,6676.75,7073.310474501838,1.5
2018-09-28,6644.1298828125,7039.304592031684,1.5
2018-09-29,6601.9599609375,6995.928935455647,1.5
2018-09-30,6625.56005859375,7017.162061158697,1.5
2018-10-01,6589.6201171875,6979.910684206443,1.5
2018-10-02,6556.10009765625,6945.046638371631,1.5
2018-10-03,6502.58984375,6890.558963475944,1.5
2018-10-04,6576.68994140625,6959.429772848675,1.5
2018-10-05,6622.47998046875,7028.978393664804,1.5
2018-10-06,6588.31005859375,6971.586973697354,1.5
2018-10-07,6602.9501953125,6991.686682912246,1.5
2018-10-08,6652.22998046875,7066.761972578291,1.5
2018-10-09,6642.64013671875,7048.371658712097,1.5
2018-10-10,6585.52978515625,6954.5579277301385,1.5
2018-10-11,6256.240234375,6428.74890048703,1.5
2018-10-12,6274.580078125,6454.879225153687,1.5
2018-10-13,6285.990234375,6470.001513193227,1.5
2018-10-14,6290.93017578125,6474.848373598888,1.5
2018-10-15,6596.5400390625,6956.937914750953,1.5
2018-10-16,6596.10986328125,6953.113014474482,1.5
2018-10-17,6544.43017578125,6867.941389558203,1.5
2018-10-18,6476.7099609375,6757.333696466703,1.5
2018-10-19,6465.41015625,6736.312813496972,1.5
2018-10-20,6489.18994140625,6770.9781736110845,1.5
2018-10-21,6482.35009765625,6757.030518505717,1.5
2018-10-22,6487.16015625,6761.577688492931,1.5
2018-10-23,6475.740234375,6740.3611691556725,1.5
2018-10-24,6495.83984375,6769.180167780127,1.5
2018-10-25,6476.2900390625,6735.05517643018,1.5
2018-10-26,6474.75,6729.5258989589165,1.5
2018-10-27,6480.3798828125,6735.377973320023,1.5
2018-10-28,6486.39013671875,6741.831118524467,1.5
2018-10-29,6332.6298828125,6494.68210197288,1.5
2018-10-30,6334.27001953125,6494.269058242873,1.5
2018-10-31,6317.60986328125,6464.8076854486935,1.5
2018-11-01,6377.77978515625,6557.304501916939,1.5
2018-11-02,6388.43994140625,6571.187179185749,1.5
2018-11-03,6361.259765625,6525.001868492242,1.5
2018-11-04,6376.1298828125,6545.574768967201,1.5
2018-11-05,6419.66015625,6611.632058123617,1.5
2018-11-06,6461.009765625,6674.207305112585,1.5
2018-11-07,6530.14013671875,6780.858489383389,1.5
