swing_w,tol%,1.b,d%,N,cooldown,lifetime_w,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
2,1.0,1.5,20,7,7,13,0.5897907839569351,3.0058436959235832,0.9812795026273456,1.4002675583074953,5.538668565385441,1.2493008413516353,0.5897907839569351
2,2.0,1.5,50,7,7,13,0.7598043858757989,1.6452568381233084,0.931265780057614,1.866835897948563,4.12619630047536,1.2141681107031221,0.7598043858757989
2,3.0,1.5,50,7,7,26,0.7191495925607982,1.895550255534525,0.8845574931268232,1.6726527266751041,4.54307941148934,1.1917127823063496,0.7191495925607982
2,3.0,1.5,50,7,7,13,0.8599550509648479,1.4752230211929087,0.9277316737657447,1.6809843769136474,3.3832401213139867,1.1859868494831802,0.8599550509648479
2,1.0,1.5,33,7,7,13,0.6620956828430005,2.095016691361761,0.9812795026273456,1.4036770414830964,3.567957784518862,1.175687881912185,0.6620956828430005
2,2.0,1.5,33,7,7,13,0.5293765771842411,1.997144931353667,0.931265780057614,1.8794996002503768,5.317431070266189,1.166332954318999,0.5293765771842411
2,3.0,1.5,33,7,7,13,0.7057153342125181,1.6307204224597907,0.9277316737657447,1.686862224952562,3.898513400959043,1.1584512575306753,0.7057153342125181
2,1.0,1.5,50,7,7,13,0.7566482429247758,1.5772356176764784,0.9812795026273456,1.394949101552856,2.548483530674397,1.1305386730732307,0.7566482429247758
2,2.0,1.5,50,7,7,26,0.5261268243742483,1.9079237238521252,0.8880880069199681,1.812821618521411,5.318075054732232,1.1274976164675163,0.5261268243742483
2,3.0,1.5,50,5,7,13,0.6295114138214207,1.721539069149369,0.8245598534166677,1.6559209543387508,4.447542716112066,1.1029239560381392,0.6295114138214207
2,3.0,1.5,33,7,7,26,0.38032875544687783,2.5891302731243346,0.8845574931268232,1.6879582702366913,6.567850712977045,1.101159447288207,0.38032875544687783
2,3.0,1.0,50,7,7,13,0.470798604430666,2.1182688342007037,0.8641442871642281,1.6913508173015779,4.88848750176277,1.098775712228726,0.470798604430666
2,1.0,1.0,50,7,7,13,0.44560912570837113,1.9461053906638646,0.9425040891564923,1.6950406031180139,3.9804210590417615,1.0849155780994744,0.44560912570837113
2,3.0,1.5,50,5,14,13,0.49621555417820634,1.557862179766589,0.9485821635146912,1.879371086188173,4.535541569197286,1.0834820622097046,0.49621555417820634
2,3.0,1.5,50,7,14,13,0.7921579721191605,1.2084761552801737,0.9789234317660995,1.4702834130843923,2.169869213489694,1.0834276530289781,0.7921579721191605
2,1.0,1.5,20,7,14,13,0.7601975909249571,1.5358189253005479,0.9812795026273456,1.1933890385984476,2.55761429136664,1.081335146165133,0.7601975909249571
2,1.0,1.5,20,5,14,13,0.414984407244653,2.3134308444712164,0.9543299714569974,1.4889165191054128,5.942217012652458,1.0807227729748439,0.414984407244653
2,2.0,1.5,50,5,7,13,0.47251427661281425,2.016616569388591,0.8331815653301263,1.6759208213391708,4.842020633796126,1.074008834482413,0.47251427661281425
