tol%,d%,N,cd,lt_w,stop,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w,any_liq,max_dd_any%,stops
1.0,20,5,7,13,0.2,0.673445022391311,3.263691532687732,0.9543299714569974,1.6201894900694895,7.8267535072572,1.357747170822452,0.673445022391311,False,58.42354450882541,1
1.0,20,5,7,13,0.25,0.5435424218904531,3.263691532687732,0.9543299714569974,1.6201894900694895,7.8267535072572,1.2869205354248228,0.5435424218904531,False,58.42354450882541,1
1.0,20,5,7,13,0.3,0.496058010082501,3.263691532687732,0.9543299714569974,1.6201894900694895,7.8267535072572,1.2578431423998353,0.496058010082501,False,58.42354450882541,1
1.0,20,5,7,13,1.0,0.0,3.263691532687732,0.9543299714569974,1.6201894900694895,7.8267535072572,0.0,0.0,True,100.0,0
1.0,20,5,7,26,0.2,0.22299666059986836,3.987150632897372,0.923379529866523,1.6737385386166885,9.388879284741247,1.0826977029827414,0.22299666059986836,False,83.32771265123394,1
1.0,20,5,7,26,0.25,0.22299666059986836,3.987150632897372,0.923379529866523,1.6737385386166885,9.388879284741247,1.0826977029827414,0.22299666059986836,False,83.32771265123394,1
1.0,20,5,7,26,0.3,0.13895315296736624,3.987150632897372,0.923379529866523,1.6737385386166885,9.388879284741247,0.9619438600858993,0.13895315296736624,False,89.61120364736823,1
1.0,20,5,7,26,1.0,0.0,3.987150632897372,0.923379529866523,1.6737385386166885,9.388879284741247,0.0,0.0,True,100.0,0
1.0,20,5,14,13,0.2,0.8083419016985341,2.3134308444712164,0.9543299714569974,1.4889165191054128,5.942217012652458,1.2767478384713513,0.8083419016985341,False,45.0884999392693,1
1.0,20,5,14,13,0.25,0.7325489078092814,2.3134308444712164,0.9543299714569974,1.4889165191054128,5.942217012652458,1.245705880615258,0.7325489078092814,False,45.0884999392693,1
1.0,20,5,14,13,0.3,0.7048436446342683,2.3134308444712164,0.9543299714569974,1.4889165191054128,5.942217012652458,1.2337567887314456,0.7048436446342683,False,45.0884999392693,1
1.0,20,5,14,13,1.0,0.414984407244653,2.3134308444712164,0.9543299714569974,1.4889165191054128,5.942217012652458,1.0807227729748439,0.414984407244653,False,62.20653771169998,0
1.0,20,5,14,26,0.2,0.33309790477634643,3.979855890696678,0.923379529866523,1.6604672518500514,9.731098338259455,1.194022336641699,0.33309790477634643,False,75.91157480396915,1
1.0,20,5,14,26,0.25,0.33309790477634643,3.979855890696678,0.923379529866523,1.6604672518500514,9.731098338259455,1.194022336641699,0.33309790477634643,False,75.91157480396915,1
1.0,20,5,14,26,0.3,0.2539287757455683,3.979855890696678,0.923379529866523,1.6604672518500514,9.731098338259455,1.1157000581486058,0.2539287757455683,False,81.63679737411194,1
1.0,20,5,14,26,1.0,0.0,3.979855890696678,0.923379529866523,1.6604672518500514,9.731098338259455,0.0,0.0,True,100.0,0
1.0,20,7,7,13,0.2,0.8661425929569047,3.0058436959235832,0.9812795026273456,1.4002675583074953,5.538668565385441,1.3752760688031047,0.8661425929569047,False,37.073048131841446,1
1.0,20,7,7,13,0.25,0.8128945138783596,3.0058436959235832,0.9812795026273456,1.4002675583074953,5.538668565385441,1.3536334727518875,0.8128945138783596,False,37.073048131841446,1
1.0,20,7,7,13,0.3,0.7934302867943812,3.0058436959235832,0.9812795026273456,1.4002675583074953,5.538668565385441,1.3454567149996504,0.7934302867943812,False,37.073048131841446,1
1.0,20,7,7,13,1.0,0.5897907839569351,3.0058436959235832,0.9812795026273456,1.4002675583074953,5.538668565385441,1.2493008413516353,0.5897907839569351,False,44.86202322884944,0
1.0,20,7,7,26,0.2,0.39862237610514706,4.195018933882243,0.9685585049579801,1.4489982944761088,8.443555592091395,1.2377197845461216,0.39862237610514706,False,72.45752711102126,1
1.0,20,7,7,26,0.25,0.39862237610514706,4.195018933882243,0.9685585049579801,1.4489982944761088,8.443555592091395,1.2377197845461216,0.39862237610514706,False,72.45752711102126,1
1.0,20,7,7,26,0.3,0.270173116791777,4.195018933882243,0.9685585049579801,1.4489982944761088,8.443555592091395,1.1230328185616736,0.270173116791777,False,81.33261906349787,1
1.0,20,7,7,26,1.0,0.0,4.195018933882243,0.9685585049579801,1.4489982944761088,8.443555592091395,0.0,0.0,True,100.0,0
1.0,20,7,14,13,0.2,0.9214378654849746,1.5358189253005479,0.9812795026273456,1.1933890385984476,2.55761429136664,1.134606351597706,0.9214378654849746,False,28.881090470196767,1
1.0,20,7,14,13,0.25,0.8903697320014734,1.5358189253005479,0.9812795026273456,1.1933890385984476,2.55761429136664,1.1249191074625393,0.8903697320014734,False,28.881090470196767,1
1.0,20,7,14,13,0.3,0.879013130680584,1.5358189253005479,0.9812795026273456,1.1933890385984476,2.55761429136664,1.121314755994987,0.879013130680584,False,28.881090470196767,1
