date,btc_close,spot_hodl,lev2_hodl,lev3_hodl,v2_best
2022-09-01,20127.140625,7000.0,6995.8,6993.7,6998.95
2022-09-02,19969.771484375,6945.268729180204,6882.170297122899,6823.255445684349,6981.905544568434
2022-09-03,19832.087890625,6897.38387687024,6782.262162176849,6673.393243265275,6966.919324326526
2022-09-04,19986.712890625,6951.160765508637,6885.64524299434,6828.46786449151,6982.42678644915
2022-09-05,19812.37109375,6890.526589951224,6760.242575925542,6640.363863888314,6963.61638638883
2022-09-06,18837.66796875,6551.5354733231015,6078.329421385303,5617.494132077955,6861.329413207794
2022-09-07,19290.32421875,6708.964380341532,6389.1618567939595,6083.74278519094,6907.9542785190915
2022-09-08,19329.833984375,6722.7054459269475,6412.610364697233,6118.915547045851,6911.471554704583
2022-09-09,21381.15234375,7436.131599356279,7835.000992596285,8252.501488894428,7124.83014888944
2022-09-10,21680.5390625,7540.255034984632,8038.7237108320005,8558.085566248,7155.388556624797
2022-09-11,21769.255859375,7571.10976938012,8095.890513761347,8643.835770642021,7163.9635770642
2022-09-12,22370.44921875,7780.19826307295,8509.399382189162,9264.099073283744,7225.989907328371
2022-09-13,20296.70703125,7058.973346779108,7062.714165593411,7094.071248390118,7008.987124839009
2022-09-14,20241.08984375,7039.630295535335,7019.804284928545,7029.706427392817,7002.550642739278
2022-09-15,19701.2109375,6851.866299935488,6640.16517394889,6460.247760923335,6945.60477609233
2022-09-16,19772.583984375,6876.689067234308,6685.684695106189,6528.527042659283,6952.432704265925
2022-09-17,20127.576171875,7000.151478452991,6928.409426656482,6892.614139984723,6988.841413998469
2022-09-18,19419.505859375,6753.892346078095,6431.838826499045,6147.7582397485685,6912.8000939144595
2022-09-19,19544.12890625,6797.234882625063,6514.445558663403,6271.6683379951055,6944.219209286822
2022-09-20,18890.7890625,6570.010410383367,6056.054607933784,5584.0819119006765,6769.872182243487
2022-09-21,18547.400390625,6450.583575349517,5813.330587720871,5219.995881581308,6677.553144861162
2022-09-22,19413.55078125,6751.821234853125,6411.754813987176,6117.632220980767,6905.161226116192
2022-09-23,19297.638671875,6711.508267365971,6327.101974052449,5990.652961078676,6872.96388245157
2022-09-24,18937.01171875,6586.086146116446,6072.306079865728,5608.459119798594,6776.053359711984
2022-09-25,18802.09765625,6539.1645065703415,5974.5393020695765,5461.808953104368,6738.8681861712885
2022-09-26,19222.671875,6685.435633011085,6263.070293571257,5894.605440356889,6848.609708114761
2022-09-27,19110.546875,6646.439780861818,6181.090725404207,5771.636088106314,6817.429131871989
2022-09-28,19426.720703125,6756.401590048264,6396.960502823069,6095.440754234605,6899.534273479997
2022-09-29,19573.05078125,6807.293595324099,6494.660137217547,6241.990205826322,6936.69390931658
2022-09-30,19431.7890625,6758.164310162661,6392.346668308573,6088.520002462861,6897.779421361752
2022-10-01,19312.095703125,6716.536265164342,6305.060656552836,5957.590984829255,6864.580562117563
2022-10-02,19044.107421875,6623.332863662794,6114.679853831541,5672.019780747313,6792.170042433985
2022-10-03,19623.580078125,6824.867133697736,6513.653473621206,6270.480210431811,6943.917943146963
2022-10-04,20336.84375,7072.932459823761,7005.540366397363,7008.310549596046,7131.0050077162
2022-10-05,20160.716796875,7011.677426391758,6878.823293077523,6818.234939616285,7082.80871375843
2022-10-06,19955.443359375,6940.285563569713,6731.875396095292,6597.813094142939,7026.917713012575
2022-10-07,19546.849609375,6798.181113499573,6443.587587286912,6165.381380930368,6917.268684560822
2022-10-08,19416.568359375,6752.870715614877,6348.915069088149,6023.372603632224,6881.2603993527755
2022-10-09,19446.42578125,6763.254801313836,6365.625287605279,6048.437931407919,6887.616059112351
2022-10-10,19141.484375,6657.199505953171,6149.520377180378,5724.2805657705685,6805.42148567656
2022-10-11,19051.41796875,6625.875392136085,6082.896624310924,5624.344936466387,6780.081427752706
2022-10-12,19157.4453125,6662.750545943482,6152.649281598155,5728.973922397231,6806.6115510176705
2022-10-13,19382.904296875,6741.16272182229,6305.428935722677,5958.143403584015,6864.7206355162225
2022-10-14,19185.65625,6672.562002333602,6164.223959543901,5746.335939315851,6811.013930003583
2022-10-15,19067.634765625,6631.515417226584,6078.1518800795275,5617.22782011929,6778.276784686544
2022-10-16,19268.09375,6701.232865758844,6213.566037424593,5820.349056136887,6829.78097715612
2022-10-17,19550.7578125,6799.540343923046,6406.101269546642,6109.151904319961,6903.010924798296
2022-10-18,19334.416015625,6724.299026423431,6251.5840551315605,5877.3760826973385,6844.240966714685
2022-10-19,19139.53515625,6656.52158893037,6112.035267192078,5668.052900788116,6791.164185277303
2022-10-20,19053.740234375,6626.68305079351,6048.3821810878835,5572.573271631823,6766.954007683841
2022-10-21,19172.46875,6667.975533658298,6126.966361497265,5690.449542245896,6796.843162793045
2022-10-22,19208.189453125,6680.398804630253,6147.804664158395,5721.706996237591,6804.76892160616
2022-10-23,19567.0078125,6805.191916698302,6393.307773144474,6089.961659716709,6898.144973453364
2022-10-24,19345.572265625,6728.179048501828,6235.245129322427,5852.867693983638,6838.026526540048
2022-10-25,20095.857421875,6989.1200431320585,6752.933646557006,6629.400469835508,7034.927128025872
2022-10-26,20770.44140625,7223.732995791596,7217.8253120786085,7326.737968117911,7211.746673987468
2022-10-27,20285.8359375,7055.192498934508,6876.511202865069,6814.766804297603,7081.929320188037
2022-10-28,20595.3515625,7162.838657689361,7087.505817180162,7131.258725770242,7162.180214472575
2022-10-29,20818.4765625,7240.4390992573,7238.362436856485,7357.543655284726,7219.557881087742
2022-10-30,20635.603515625,7176.837847992876,7106.853831618843,7160.280747428264,7169.539148568474
2022-10-31,20495.7734375,7128.206471827142,7005.3141554042795,7007.971233106417,7130.918969337679
2022-11-01,20485.2734375,7124.554686341592,6993.735851621374,6990.603777432059,7126.515211280193
2022-11-02,20159.50390625,7011.255596260336,6762.930918101104,6644.396377151654,7038.729547269717
2022-11-03,20209.98828125,7028.813511295771,6793.829460065197,6690.744190097793,7050.481674843
2022-11-04,21147.23046875,7354.77612241555,7441.341816631308,7662.012724946958,7296.7602153801445
2022-11-05,21282.69140625,7401.88795912236,7531.124357269454,7796.686535904178,7330.908618649762
2022-11-06,20926.486328125,7278.003717772255,7278.989072338581,7418.483608507868,7235.010047200101
2022-11-07,20602.81640625,7165.434848932994,7049.552073750698,7074.328110626043,7147.744671359081
2022-11-08,18541.271484375,6448.452008598464,5611.717321876478,4917.575982814715,6598.890145006111
2022-11-09,15880.7802734375,5523.162181118933,3757.8237696087463,2136.735654413116,5324.455809729117
2022-11-10,17586.771484375,6116.48731850727,4940.804151994315,3911.20622799147,6137.679856723133
2022-11-11,17034.29296875,5924.341316179878,4552.957542549823,3329.4363138247318,5871.059890710411
2022-11-12,16799.185546875,5842.573518965763,4385.916404010211,3078.874606015314,5756.229693421986
2022-11-13,16353.365234375,5687.522076456154,4072.40100574512,2608.6015086176767,5540.707724699279
2022-11-14,16618.19921875,5779.628447905774,4253.145971575618,2879.718957363423,5664.958434833681
2022-11-15,16884.61328125,5872.284353294719,4434.934411741532,3152.401617612294,5789.926467448334
2022-11-16,16669.439453125,5797.449242588327,4281.785720783195,2922.678581174788,5684.6464475025905
2022-11-17,16687.517578125,5803.7366173007995,4290.878228237759,2936.317342356635,5690.896970182107
2022-11-18,16697.77734375,5807.3048518907535,4294.530314506534,2941.795471759797,5693.407548057858
2022-11-19,16711.546875,5812.093744687095,4300.620843852403,2950.9312657786004,5697.594401024087
2022-11-20,16291.83203125,5666.121499498889,4005.2766805762913,2507.9150208644332,5494.56400483855
2022-11-21,15787.2841796875,5490.645259393993,3651.0298132108637,1976.544719816292,5251.041732277338
2022-11-22,16189.76953125,5630.625275106608,3927.611469471029,2391.4172042065393,5439.541741648128
2022-11-23,16610.70703125,5777.022746804106,4216.940199217943,2825.4102988269096,5722.315052311781
2022-11-24,16604.46484375,5774.851782069764,4209.133358680018,2813.7000380200234,5714.685094005659
2022-11-25,16521.841796875,5746.116387464998,4148.2148996380065,2722.322349457005,5655.146885135403
2022-11-26,16464.28125,5726.097457025146,4104.7413802840865,2657.1120704261257,5612.658360042642
2022-11-27,16444.626953125,5719.2619069244965,4087.6387229386332,2631.458084407946,5595.943203400749
2022-11-28,16217.322265625,5640.207815628307,3926.146415656877,2389.219623485311,5438.1098820547495
2022-11-29,16444.982421875,5719.385535078955,4081.0702232371264,2621.605334855685,5589.52352842304
2022-11-30,17168.56640625,5971.040153337727,4580.796835662668,3371.195253493998,6077.927665633719
2022-12-01,16967.1328125,5900.983746294067,4437.1434313275695,3155.7151469913506,5937.529065164718
2022-12-02,17088.66015625,5943.249631056324,4518.109251073451,3277.163876610172,6016.660414893335
2022-12-03,16908.236328125,5880.500191361633,4389.082071569252,3083.623107353874,5890.55664792242
2022-12-04,17130.486328125,5957.796317472443,4540.099646000388,3310.1494690005775,6038.152565989877
2022-12-05,16974.826171875,5903.659412779852,4428.283640967538,3142.4254614513025,5928.870014077454
2022-12-06,17089.50390625,5943.54307810427,4504.4848457695125,3256.727268654263,6001.5436989469645
2022-12-07,16848.126953125,5859.594806297778,4333.072545272748,2999.608817909117,5782.074049668093
2022-12-08,17233.474609375,5993.6145184867755,4597.515800939654,3396.2737014094746,6120.656919200693
2022-12-09,17133.15234375,5958.723528630883,4524.15858711069,3286.2378806660286,6026.733192930991
2022-12-10,17128.724609375,5957.183610904741,4517.504441491862,3276.2566622377867,6018.2134834295
2022-12-11,17104.193359375,5948.651909695941,4496.8718479284435,3245.3077718926606,5991.796312316612
2022-12-12,17206.4375,5984.211306716599,4564.400115185731,3346.6001727785915,6078.256881881434
2022-12-13,17781.318359375,6184.148599877187,4960.56421234698,3940.846318520465,6585.489998809946
2022-12-14,17815.650390625,6196.088905916064,4980.727171081183,3971.0907566217693,6611.305867735311
2022-12-15,17364.865234375,6039.310744897476,4663.547262597071,3495.320893895599,6205.201037034279
2022-12-16,16647.484375,5789.813505861566,4161.078896421734,2741.618344632594,5561.860064544906
2022-12-17,16795.091796875,5841.149757362765,4260.246709569714,2890.370064354565,5688.830679303972
2022-12-18,16757.9765625,5828.241483631011,4230.9332172160275,2846.399825824036,5651.298822678993
2022-12-19,16439.6796875,5717.541301895683,4006.102328964235,2509.1534934463466,5363.4340892340915
2022-12-20,16906.3046875,5879.828387818998,4327.148603778171,2990.7229056672513,5774.489265154989
2022-12-21,16817.53515625,5848.955312983014,4261.893080918413,2892.839621377615,5690.9386292085865
2022-12-22,16830.341796875,5853.409322921398,4267.289055201428,2900.933582802137,5697.847425018333
2022-12-23,16796.953125,5841.797106984738,4240.559545063919,2860.8393175958745,5663.62399882153
2022-12-24,16847.755859375,5859.4657439387265,4272.381139525533,2908.5717092882956,5704.3671319324285
2022-12-25,16841.986328125,5857.459163893282,4264.853503936307,2897.2802559044553,5694.729039812557
2022-12-26,16919.8046875,5884.523540586133,4315.451543197658,2973.1773147964836,5759.512803280554
2022-12-27,16717.173828125,5814.050737615642,4171.017506814105,2756.526260221155,5574.585075123564
2022-12-28,16552.572265625,5756.804109345512,4053.0701678082396,2579.605251712355,5423.569885140261
2022-12-29,16642.341796875,5788.024973275358,4112.039080683967,2668.058621025945,5499.071389931257
2022-12-30,16602.5859375,5774.198318967626,4080.92125307712,2621.381879615675,5459.229332556128
2022-12-31,16547.49609375,5755.038672128819,4039.1489361962294,2558.7234042943387,5405.745681097941
2023-01-01,16625.080078125,5782.021535752797,4089.6454505227334,2634.468175784095,5470.399455984141
2023-01-02,16688.470703125,5804.068103780886,4130.256145716645,2695.3842185749627,5522.395812169485
2023-01-03,16679.857421875,5801.072498499771,4120.7842916553145,2681.176437482967,5510.268418261134
2023-01-04,16863.23828125,5864.850361413421,4244.821107265766,2867.2316608986443,5669.080337480476
2023-01-05,16836.736328125,5855.6332711505065,4222.873546777247,2834.310320165865,5640.979533810129
2023-01-06,16951.96875,5895.709850737926,4299.489280041644,2949.2339200624597,5739.075341754193
2023-01-07,16955.078125,5896.791257451653,4298.114018714626,2947.171028071934,5737.314510587278
