date,btc,v9a_eq,v9a_lev
2023-03-15,24375.9609375,9097.428152456621,1.5
2023-03-16,25052.7890625,9128.74339204049,1.5
2023-03-17,27423.9296875,9239.297466686852,1.5
2023-03-18,26965.87890625,9217.488061571239,1.5
2023-03-19,28038.67578125,9267.287654966027,1.5
2023-03-20,27767.236328125,9254.19802108663,1.5
2023-03-21,28175.81640625,9272.918853682557,1.5
2023-03-22,27307.4375,9231.906555441914,1.5
2023-03-23,28333.97265625,9279.537548290516,1.5
2023-03-24,27493.28515625,9239.818244481803,1.5
2023-03-25,27494.70703125,9239.49885000952,1.5
2023-03-26,27994.330078125,9262.48187443299,1.5
2023-03-27,27139.888671875,9222.124024360832,1.5
2023-03-28,27268.130859375,9227.741375897462,1.5
2023-03-29,28348.44140625,9277.888164948985,1.5
2023-03-30,28033.5625,9262.762383031928,1.5
2023-03-31,28478.484375,9283.179297800465,1.5
2023-04-01,28411.03515625,9279.624756821046,1.5
2023-04-02,28199.30859375,9269.322856522642,1.5
2023-04-03,27790.220703125,9249.792716765052,1.5
2023-04-04,28168.08984375,9267.076779418538,1.5
2023-04-05,28177.984375,9267.144206115978,1.5
2023-04-06,28044.140625,9260.488401537414,1.5
2023-04-07,27925.859375,9254.56238277973,1.5
2023-04-08,27947.794921875,9255.196405709052,1.5
2023-04-09,28333.05078125,9272.823756740821,1.5
2023-04-10,29652.98046875,9334.163340759256,1.5
2023-04-11,30235.05859375,9360.972755174573,1.5
2023-04-12,30139.052734375,9356.0578745687,1.5
2023-04-13,30399.06640625,9367.796496962337,1.5
2023-04-14,30485.69921875,9371.421900573287,1.5
2023-04-15,30318.49609375,9363.173381450137,1.5
2023-04-16,30315.35546875,9362.600929372238,1.5
2023-04-17,29445.044921875,9321.4682513075,1.5
2023-04-18,30397.552734375,9365.60674820529,1.5
2023-04-19,28822.6796875,9291.518307904324,1.5
2023-04-20,28245.98828125,9264.140073796556,1.5
2023-04-21,27276.91015625,9218.416770805296,1.5
2023-04-22,27817.5,9243.318998453471,1.5
2023-04-23,27591.384765625,9232.352425578825,1.5
2023-04-24,27525.33984375,9228.87601945854,1.5
2023-04-25,28307.59765625,9265.078332606292,1.5
2023-04-26,28422.701171875,9270.06475690797,1.5
2023-04-27,29473.787109375,9318.828413150453,1.5
2023-04-28,29340.26171875,9312.169311153462,1.5
2023-04-29,29248.48828125,9307.464953765624,1.5
2023-04-30,29268.806640625,9308.004771113101,1.5
2023-05-01,28091.568359375,9252.530805174076,1.5
2023-05-02,28680.537109375,9279.684432060325,1.5
2023-05-03,29006.30859375,9294.519226528804,1.5
2023-05-04,28847.7109375,9286.693977256607,1.5
2023-05-05,29534.384765625,9318.40696522183,1.5
2023-05-06,28904.623046875,9288.5364757475,1.5
2023-05-07,28454.978515625,9267.099474192686,1.5
2023-05-08,27694.2734375,9230.594509278402,1.5
2023-05-09,27658.775390625,9226.884987767962,1.5
2023-05-10,27621.755859375,9223.047536250326,1.5
2023-05-11,27000.7890625,9169.765164114946,1.5
2023-05-12,26804.990234375,9152.499760774373,1.5
2023-05-13,26784.078125,9150.04790353679,1.5
2023-05-14,26930.638671875,9161.777361148545,1.5
2023-05-15,27192.693359375,9182.495097153274,1.5
2023-05-16,27036.650390625,9159.083495144234,1.5
2023-05-17,27398.802734375,9209.561298931401,1.5
2023-05-18,26832.208984375,9127.605782547867,1.5
2023-05-19,26890.12890625,9134.715789720762,1.5
2023-05-20,27129.5859375,9167.706333876498,1.5
2023-05-21,26753.826171875,9112.97087180591,1.5
2023-05-22,26851.27734375,9124.539246107033,1.5
2023-05-23,27225.7265625,9209.004923516186,1.5
2023-05-24,26334.818359375,9001.736794478686,1.5
2023-05-25,26476.20703125,9032.509822041435,1.5
2023-05-26,26719.291015625,9086.717294874607,1.5
2023-05-27,26868.353515625,9119.232802508024,1.5
2023-05-28,28085.646484375,9398.001435502998,1.5
2023-05-29,27745.884765625,9315.959967361876,1.5
2023-05-30,27702.349609375,9297.382402141902,1.5
2023-05-31,27219.658203125,9121.496933675457,1.5
2023-06-01,26819.97265625,8975.397339871553,1.5
2023-06-02,27249.58984375,9126.409818776769,1.5
2023-06-03,27075.12890625,9060.985957304323,1.5
2023-06-04,27119.06640625,9073.814559045333,1.5
2023-06-05,25760.09765625,8582.27279616173,1.5
2023-06-06,27238.783203125,9317.306815225676,1.5
2023-06-07,26345.998046875,8867.098886117044,1.5
2023-06-08,26508.216796875,8944.208641096044,1.5
2023-06-09,26480.375,8926.321111722365,1.5
2023-06-10,25851.240234375,8607.972598444421,1.5
2023-06-11,25940.16796875,8648.533138365525,1.5
2023-06-12,25902.5,8625.820667716092,1.5
2023-06-13,25918.728515625,8630.045834751907,1.5
2023-06-14,25124.67578125,8229.372291069067,1.5
2023-06-15,25576.39453125,8451.327887432357,1.5
2023-06-16,26327.462890625,8822.800279566394,1.5
2023-06-17,26510.67578125,8910.403553310645,1.5
2023-06-18,26336.212890625,8819.249323275848,1.5
2023-06-19,26851.029296875,9072.553044617138,1.5
2023-06-20,28327.48828125,9804.89491878679,1.5
2023-06-21,30027.296875,10481.010013964498,1.5
2023-06-22,29912.28125,10431.429328109036,1.5
2023-06-23,30695.46875,10739.699554298542,1.5
2023-06-24,30548.6953125,10689.814509755517,1.5
2023-06-25,30480.26171875,10664.997181762397,1.5
2023-06-26,30271.130859375,10595.190450683536,1.5
2023-06-27,30688.1640625,10725.655441710933,1.5
2023-06-28,30086.24609375,10530.212690158345,1.5
2023-06-29,30445.3515625,10642.169729674504,1.5
2023-06-30,30477.251953125,10648.474854071052,1.5
2023-07-01,30590.078125,10675.000990655028,1.5
2023-07-02,30620.76953125,10680.504646288224,1.5
2023-07-03,31156.439453125,10815.202477688943,1.5
2023-07-04,30777.58203125,10715.881383622045,1.5
2023-07-05,30514.166015625,10646.124553020798,1.5
2023-07-06,29909.337890625,10489.039160100232,1.5
2023-07-07,30342.265625,10596.728949629554,1.5
2023-07-08,30292.541015625,10584.687827999356,1.5
2023-07-09,30171.234375,10557.998602240568,1.5
2023-07-10,30414.470703125,10605.93019943703,1.5
2023-07-11,30620.951171875,10646.323796759882,1.5
2023-07-12,30391.646484375,10597.509739374884,1.5
2023-07-13,31476.048828125,10817.594698844767,1.5
2023-07-14,30334.068359375,10581.3037993402,1.5
2023-07-15,30295.806640625,10573.548252121014,1.5
2023-07-16,30249.1328125,10564.417176213694,1.5
2023-07-17,30145.888671875,10546.025503714864,1.5
2023-07-18,29856.5625,10497.169612018273,1.5
2023-07-19,29913.923828125,10505.094959064922,1.5
2023-07-20,29792.015625,10483.663682050586,1.5
2023-07-21,29908.744140625,10501.313054378144,1.5
2023-07-22,29771.802734375,10477.420477383694,1.5
2023-07-23,30084.5390625,10526.672638779102,1.5
2023-07-24,29176.916015625,10406.215494912623,1.5
2023-07-25,29227.390625,10410.587401096522,1.5
2023-07-26,29354.97265625,10423.038142774121,1.5
2023-07-27,29210.689453125,10406.994929467062,1.5
2023-07-28,29319.24609375,10417.452442754227,1.5
2023-07-29,29356.91796875,10420.478218643493,1.5
2023-07-30,29275.30859375,10411.00280776995,1.5
2023-07-31,29230.111328125,10405.039339969819,1.5
2023-08-01,29675.732421875,10441.6628244742,1.5
2023-08-02,29151.958984375,10397.005435576515,1.5
2023-08-03,29178.6796875,10398.512168104768,1.5
2023-08-04,29074.091796875,10389.009908516879,1.5
2023-08-05,29042.126953125,10385.598668655428,1.5
2023-08-06,29041.85546875,10384.845261181657,1.5
2023-08-07,29180.578125,10395.499791762531,1.5
2023-08-08,29765.4921875,10434.1417313676,1.5
2023-08-09,29561.494140625,10419.860834113648,1.5
2023-08-10,29429.591796875,10410.419385328833,1.5
2023-08-11,29397.71484375,10407.68913313211,1.5
2023-08-12,29415.96484375,10408.321456520262,1.5
2023-08-13,29282.9140625,10398.80591288536,1.5
2023-08-14,29408.443359375,10406.63559647512,1.5
2023-08-15,29170.34765625,10389.879310963544,1.5
2023-08-16,28701.779296875,10364.26873193361,1.5
2023-08-17,26664.55078125,10253.916494985197,1.5
2023-08-18,26049.556640625,10192.371476732837,1.5
2023-08-19,26096.205078125,10198.760305095066,1.5
2023-08-20,26189.583984375,10212.835306273018,1.5
2023-08-21,26124.140625,10200.774968830217,1.5
2023-08-22,26031.65625,10184.268855173033,1.5
2023-08-23,26431.640625,10248.792263578509,1.5
2023-08-24,26162.373046875,10203.185160231827,1.5
2023-08-25,26047.66796875,10181.709041322227,1.5
2023-08-26,26008.462890625,10169.236498772732,1.5
2023-08-27,26089.693359375,10188.712683553456,1.5
2023-08-28,26106.150390625,10191.001206306199,1.5
2023-08-29,27727.392578125,10617.619105501812,1.5
2023-08-30,27297.265625,10505.48662568591,1.5
2023-08-31,25931.47265625,10154.091664215915,1.5
2023-09-01,25800.724609375,10117.756940665306,1.5
2023-09-02,25868.798828125,10137.422006874007,1.5
2023-09-03,25969.56640625,10167.736790873189,1.5
2023-09-04,25812.416015625,10113.973546415591,1.5
2023-09-05,25779.982421875,10100.877021576545,1.5
2023-09-06,25753.236328125,10089.637505637347,1.5
2023-09-07,26240.1953125,10245.842397728837,1.5
2023-09-08,25905.654296875,10132.873514265206,1.5
2023-09-09,25895.677734375,10125.226144447379,1.5
2023-09-10,25832.2265625,10094.541951878022,1.5
2023-09-11,25162.654296875,9800.804722777197,1.5
2023-09-12,25833.34375,10188.201430905685,1.5
2023-09-13,26228.32421875,10414.415006565085,1.5
2023-09-14,26539.673828125,10591.51390562357,1.5
2023-09-15,26608.693359375,10628.0526919562,1.5
2023-09-16,26568.28125,10599.089219334306,1.5
2023-09-17,26534.1875,10573.91425527685,1.5
2023-09-18,26754.28125,10700.865081153643,1.5
2023-09-19,27211.1171875,10969.455820652323,1.5
2023-09-20,27132.0078125,10917.225603735029,1.5
2023-09-21,26567.6328125,10574.600170747388,1.5
2023-09-22,26579.568359375,10576.971765490545,1.5
2023-09-23,26579.390625,10572.091968393961,1.5
2023-09-24,26256.826171875,10374.27840312449,1.5
2023-09-25,26298.48046875,10394.49113699445,1.5
2023-09-26,26217.25,10341.15544251273,1.5
2023-09-27,26352.716796875,10417.517801755344,1.5
2023-09-28,27021.546875,10813.049517260726,1.5
2023-09-29,26911.720703125,10742.470738337639,1.5
2023-09-30,26967.916015625,10771.267996564748,1.5
2023-10-01,27983.75,11372.680093534864,1.5
2023-10-02,27530.78515625,11151.162282406913,1.5
2023-10-03,27429.978515625,11093.920622049041,1.5
2023-10-04,27799.39453125,11283.47884494275,1.5
2023-10-05,27415.912109375,11077.839923193176,1.5
2023-10-06,27946.59765625,11352.038437840414,1.5
2023-10-07,27968.83984375,11359.310233883738,1.5
2023-10-08,27935.08984375,11335.725958647614,1.5
2023-10-09,27583.677734375,11184.026638422107,1.5
2023-10-10,27391.01953125,11090.397346167685,1.5
2023-10-11,26873.3203125,10845.336857263212,1.5
2023-10-12,26756.798828125,10787.28403532087,1.5
2023-10-13,26862.375,10832.737514193901,1.5
2023-10-14,26861.70703125,10828.670048573695,1.5
2023-10-15,27159.65234375,10963.746381019788,1.5
2023-10-16,28519.466796875,11592.24690099399,1.5
2023-10-17,28415.748046875,11550.393010003692,1.5
2023-10-18,28328.341796875,11514.63158085001,1.5
2023-10-19,28719.806640625,11657.390135710992,1.5
2023-10-20,29682.94921875,12012.10408155462,1.5
2023-10-21,29918.412109375,12079.667047638879,1.5
2023-10-22,29993.896484375,12099.500406754662,1.5
2023-10-23,33086.234375,13019.008198963085,1.5
2023-10-24,33901.52734375,13259.182587478219,1.5
2023-10-25,34502.8203125,13435.465278742678,1.5
2023-10-26,34156.6484375,13329.14272171123,1.5
2023-10-27,33909.80078125,13252.471452695909,1.5
2023-10-28,34089.57421875,13303.04852897508,1.5
2023-10-29,34538.48046875,13433.869870058666,1.5
2023-10-30,34502.36328125,13420.008130413431,1.5
2023-10-31,34667.78125,13466.251112142745,1.5
2023-11-01,35437.25390625,13692.619504617436,1.5
2023-11-02,34938.2421875,13540.633671286923,1.5
2023-11-03,34732.32421875,13476.098440974209,1.5
2023-11-04,35082.1953125,13577.32815631664,1.5
2023-11-05,35049.35546875,13564.395122510661,1.5
2023-11-06,35037.37109375,13557.684511864616,1.5
2023-11-07,35443.5625,13675.682680573867,1.5
2023-11-08,35655.27734375,13735.648011532543,1.5
2023-11-09,36693.125,14041.962390180732,2.0
2023-11-10,37313.96875,14223.825657215653,2.0
2023-11-11,37138.05078125,14168.024369118579,2.0
2023-11-12,37054.51953125,14139.790242555335,2.0
2023-11-13,36502.35546875,13971.808670098335,2.0
2023-11-14,35537.640625,13680.84628368844,2.0
2023-11-15,37880.58203125,14376.374142553961,2.0
2023-11-16,36154.76953125,13858.315100216185,2.0
2023-11-17,36596.68359375,13986.86642321389,2.0
2023-11-18,36585.703125,13980.316721818766,2.0
2023-11-19,37386.546875,14215.86891189886,2.0
2023-11-20,37476.95703125,14239.485072386622,2.0
2023-11-21,35813.8125,13740.150891943122,2.0
2023-11-22,37432.33984375,14219.62044250652,2.0
2023-11-23,37289.62109375,14173.709178556102,2.0
2023-11-24,37720.28125,14298.802819238952,2.0
2023-11-25,37796.79296875,14318.244343439612,2.0
2023-11-26,37479.12109375,14220.126225030333,2.0
2023-11-27,37254.16796875,14149.686971870731,2.0
2023-11-28,37831.0859375,14318.400554224912,2.0
2023-11-29,37858.4921875,14323.188008582949,2.0
2023-11-30,37712.74609375,14276.335797682845,2.0
2023-12-01,38688.75,14564.023105236261,2.0
