buy_rsi,sell_rsi,1.b,d%,N,cb,ct,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
30,65,1.5,20,7,3,7,0.13799773252876626,1.333379172994072,0.9878463552306521,1.0170488469495778,1.5926669139811087,0.6557136248766878,0.13799773252876626
30,70,1.5,20,7,3,3,0.13848474430576335,1.2990799970994575,0.9752008036512588,1.0207980196745652,1.6779016282663808,0.6505308916092126,0.13848474430576335
30,65,1.5,20,5,7,7,0.13086600814109636,1.3344008371086826,0.9703855886149162,1.041591914536945,2.005432942779705,0.6481697739492766,0.13086600814109636
35,60,1.0,50,7,7,3,0.09525022874741093,1.3005686639010174,1.1107403027100469,1.2605944446948605,2.192657753814647,0.6453522196166044,0.09525022874741093
30,60,1.5,20,5,3,7,0.10531653435516805,1.5932682056404,0.9886140746514339,1.0414476179587655,2.2172044664701125,0.6447070469605863,0.10531653435516805
30,60,1.0,50,5,3,3,0.11264726794969894,1.2927091648917415,1.1178095374574226,1.0603948048245837,2.0451133358109237,0.6445612951536619,0.11264726794969894
30,60,1.0,50,5,3,7,0.10828725104454641,1.391446979511023,1.0665409451642092,1.0686265129905592,2.2625904120170333,0.6437420331344791,0.10828725104454641
30,60,1.0,33,5,3,3,0.10674901374498665,1.380345524420168,1.0865305439849138,1.068094539571057,2.252647746161943,0.6430590124885704,0.10674901374498665
30,60,1.0,33,7,3,7,0.11274786985472526,1.3998919767943399,1.012187762960528,1.0619688269009104,2.1302011447920814,0.6417914547120144,0.11274786985472526
30,70,1.5,20,5,7,3,0.13175149538295358,1.3012398475536535,0.939500538765336,1.050738296812712,2.304522353533223,0.641395820411001,0.13175149538295358
30,65,1.5,50,5,3,3,0.12897317507013342,1.243195361323184,1.0114636874403007,1.0233356064308392,1.5338894074254124,0.6382661145567183,0.12897317507013342
30,60,1.0,20,7,3,3,0.10890710602559271,1.3908462840157145,1.0237978887427093,1.0604079835364892,2.105785106657653,0.6368037946638179,0.10890710602559271
35,60,1.5,50,7,3,3,0.10883535096732871,1.1399302745922846,1.095777376631916,1.138556503446496,1.6090077506677831,0.6272364628187509,0.10883535096732871
35,60,1.5,33,5,7,3,0.09246717625641006,1.247661940407931,1.0511538365428876,1.2417821146513874,1.9304517295633559,0.6229440624203582,0.09246717625641006
35,60,1.5,50,7,3,7,0.10340338815590726,1.1820049074553443,1.0615007727360355,1.1517756361670533,1.7092889268723928,0.6217425109380686,0.10340338815590726
35,60,1.5,33,7,3,3,0.10185492638844361,1.1796030694162232,1.0718732197099003,1.1508121248758771,1.7142883817672665,0.6204637961385046,0.10185492638844361
30,60,1.0,20,7,3,7,0.08505302493485423,1.6525585107421854,0.9768749589422163,1.0780843516901735,2.8630433051722974,0.6202754352452611,0.08505302493485423
35,60,1.0,50,7,7,7,0.0758604053711485,1.383996759618499,1.0683384453242333,1.2904957377937165,2.414154421601001,0.6168135647948411,0.0758604053711485
30,65,1.0,50,7,3,3,0.1044220833566894,1.307616804264929,1.0110410429861378,1.0439626156866686,1.8615404970065101,0.6161431788933429,0.1044220833566894
