date,btc_close,paul_usd_eq,paul_xbt_mult,spot_hodl,lev2_hodl,lev3_hodl,v2_strategy
2022-09-01,20127.140625,7000.0,1.0,7000.0,6995.8,6993.7,6998.95
2022-09-02,19969.771484375,6945.252737967609,0.9999976975386818,6945.268729180204,6882.170297122899,6823.255445684349,6981.905544568434
2022-09-03,19832.087890625,6897.386156931753,1.0000003305690324,6897.38387687024,6782.262162176849,6673.393243265275,6966.919324326526
2022-09-04,19986.712890625,6951.1967405061405,1.000005175394257,6951.160765508637,6885.64524299434,6828.46786449151,6982.42678644915
2022-09-05,19812.37109375,6890.616438083273,1.0000130393709212,6890.526589951224,6760.242575925542,6640.363863888314,6963.61638638883
2022-09-06,18837.66796875,6551.70427572128,1.000025765318507,6551.5354733231015,6078.329421385303,5617.494132077955,6861.329413207794
2022-09-07,19290.32421875,6709.125706511154,1.0000240463595387,6708.964380341532,6389.1618567939595,6083.74278519094,6907.954278519092
2022-09-08,19329.833984375,6722.911255648499,1.000030614121533,6722.7054459269475,6412.610364697233,6118.915547045851,6911.471554704583
2022-09-09,21381.15234375,7436.357202890416,1.0000303388302267,7436.131599356279,7835.000992596285,8252.501488894428,7124.83014888944
2022-09-10,21680.5390625,7541.765639780354,1.000200338687314,7540.255034984632,8038.7237108320005,8558.085566248,7155.388556624797
2022-09-11,21769.255859375,7575.98342098939,1.0006437169394875,7571.10976938012,8095.890513761347,8643.835770642021,7163.9635770642
2022-09-12,22370.44921875,7791.157676965267,1.001408629127658,7780.19826307295,8509.399382189162,9264.099073283744,7225.989907328371
2022-09-13,20296.70703125,7072.631356111348,1.0019348435900346,7058.973346779108,7062.714165593411,7094.071248390118,7008.987124839009
2022-09-14,20241.08984375,7052.927288916835,1.0018888766630165,7039.630295535335,7019.804284928545,7029.706427392817,7002.550642739278
2022-09-15,19701.2109375,6861.896502622906,1.0014638643324831,6851.866299935488,6640.16517394889,6460.247760923335,6945.60477609233
2022-09-16,19772.583984375,6887.262487140391,1.001537574231248,6876.689067234308,6685.684695106189,6528.527042659283,6952.432704265925
2022-09-17,20127.576171875,7002.403964228665,1.000321776719062,7000.151478452991,6928.409426656482,6892.614139984723,6988.841413998469
2022-09-18,19419.505859375,6756.418792167096,1.0003740726028107,6753.892346078096,6431.838826499045,6147.7582397485685,6912.80009391446
2022-09-19,19544.12890625,6772.109287031384,0.9963035563685017,6797.234882625063,6514.445558663403,6271.6683379951055,6944.219209286822
2022-09-20,18890.7890625,6531.689623866689,0.9941673172304087,6570.010410383367,6056.054607933784,5584.0819119006765,6769.872182243487
2022-09-21,18547.400390625,6390.714841756108,0.9907188655268041,6450.583575349517,5813.330587720871,5219.995881581308,6677.553144861162
2022-09-22,19413.55078125,6691.607041841963,0.9910817850596615,6751.821234853125,6411.754813987176,6117.632220980767,6905.161226116192
2022-09-23,19297.638671875,6651.648364203989,0.991081005822038,6711.508267365971,6327.101974052449,5990.652961078676,6872.96388245157
2022-09-24,18937.01171875,6527.339343474632,0.9910801648599065,6586.086146116446,6072.306079865728,5608.459119798594,6776.053359711984
2022-09-25,18802.09765625,6480.8330709904585,0.9910796806654316,6539.1645065703415,5974.5393020695765,5461.808953104368,6738.8681861712885
2022-09-26,19222.671875,6625.78726920614,0.9910778643189063,6685.435633011085,6263.070293571257,5894.605440356889,6848.609708114761
2022-09-27,19110.546875,6587.1322816012835,0.9910768018343733,6646.439780861819,6181.090725404207,5771.636088106314,6817.429131871989
2022-09-28,19426.720703125,6696.10331575809,0.9910753862856541,6756.401590048264,6396.960502823069,6095.440754234605,6899.534273479997
2022-09-29,19573.05078125,6746.510104620905,0.9910708286851406,6807.293595324099,6494.660137217547,6241.990205826322,6936.69390931658
2022-09-30,19431.7890625,6698.587019236364,0.9911843973907668,6758.164310162661,6392.346668308573,6088.520002462861,6897.779421361752
2022-10-01,19312.095703125,6657.3719517707395,0.9911912463421868,6716.536265164342,6305.060656552836,5957.590984829255,6864.580562117563
2022-10-02,19044.107421875,6563.99310068826,0.9910408001234414,6623.332863662794,6114.679853831541,5672.019780747313,6792.170042433985
2022-10-03,19623.580078125,6763.864967041835,0.9910617795979204,6824.867133697736,6513.653473621206,6270.480210431811,6943.917943146963
2022-10-04,20336.84375,7013.0177603137945,0.9915290157441347,7072.932459823761,7005.540366397363,7008.310549596046,7131.0050077162
2022-10-05,20160.716796875,6952.647572082029,0.9915812079307098,7011.677426391758,6878.823293077523,6818.234939616285,7082.80871375843
2022-10-06,19955.443359375,6882.178455418818,0.9916275623504736,6940.285563569713,6731.875396095292,6597.813094142939,7026.917713012575
2022-10-07,19546.849609375,6740.374109834177,0.9914966955571977,6798.181113499573,6443.587587286912,6165.381380930368,6917.268684560822
2022-10-08,19416.568359375,6695.416542005663,0.9914918890011681,6752.870715614877,6348.915069088149,6023.372603632224,6881.260399352776
2022-10-09,19446.42578125,6705.709177497499,0.9914914304566557,6763.254801313836,6365.625287605279,6048.437931407919,6887.616059112351
2022-10-10,19141.484375,6600.465313302559,0.9914777689026928,6657.199505953171,6149.520377180378,5724.2805657705685,6805.42148567656
2022-10-11,19051.41796875,6569.371111875527,0.9914721788569071,6625.875392136085,6082.896624310924,5624.344936466387,6780.081427752706
2022-10-12,19157.4453125,6607.716510582132,0.9917400426472732,6662.750545943482,6152.649281598155,5728.973922397231,6806.611551017671
2022-10-13,19382.904296875,6689.808536066097,0.9923819987922927,6741.16272182229,6305.428935722677,5958.143403584015,6864.720635516223
2022-10-14,19185.65625,6624.493246539431,0.9927960570801201,6672.562002333602,6164.223959543901,5746.335939315851,6811.013930003583
2022-10-15,19067.634765625,6583.153439883063,0.9927072510126581,6631.515417226584,6078.1518800795275,5617.22782011929,6778.276784686544
2022-10-16,19268.09375,6652.392220480519,0.9927116925710963,6701.232865758844,6213.566037424593,5820.349056136887,6829.78097715612
2022-10-17,19550.7578125,6749.782458101836,0.9926821691902042,6799.540343923046,6406.101269546642,6109.151904319961,6903.010924798296
2022-10-18,19334.416015625,6675.08738668841,0.9926815212200347,6724.299026423431,6251.5840551315605,5877.3760826973385,6844.240966714685
2022-10-19,19139.53515625,6609.157728164221,0.9928845929314024,6656.52158893037,6112.035267192078,5668.052900788116,6791.164185277303
2022-10-20,19053.740234375,6580.787658846601,0.9930741531479444,6626.68305079351,6048.3821810878835,5572.573271631823,6766.954007683841
2022-10-21,19172.46875,6621.480133634265,0.9930270589942425,6667.975533658298,6126.966361497265,5690.449542245896,6796.843162793045
2022-10-22,19208.189453125,6628.703733833109,0.9922616789343007,6680.398804630253,6147.804664158395,5721.706996237591,6804.76892160616
2022-10-23,19567.0078125,6752.259109013077,0.9922217024393774,6805.191916698302,6393.307773144474,6089.961659716709,6898.144973453364
2022-10-24,19345.572265625,6647.560800555041,0.9880178206665386,6728.179048501828,6235.245129322427,5852.867693983638,6838.026526540048
2022-10-25,20095.857421875,6903.154920714004,0.9877001508219152,6989.1200431320585,6752.933646557006,6629.400469835508,7034.927128025872
2022-10-26,20770.44140625,7143.949957712292,0.9889554281524825,7223.732995791596,7217.8253120786085,7326.737968117911,7211.746673987468
2022-10-27,20285.8359375,7046.380890962136,0.9987510464138715,7055.192498934508,6876.511202865069,6814.766804297603,7081.929320188037
2022-10-28,20595.3515625,7151.2557986758975,0.9983829233678148,7162.838657689361,7087.505817180162,7131.258725770242,7162.180214472575
2022-10-29,20818.4765625,7244.927787528069,1.0006199469685795,7240.4390992573,7238.362436856485,7357.543655284726,7219.557881087742
2022-10-30,20635.603515625,7177.226060939377,1.0000540924784316,7176.837847992877,7106.853831618843,7160.280747428264,7169.539148568474
2022-10-31,20495.7734375,7127.5870012479645,0.9999130958703811,7128.206471827142,7005.3141554042795,7007.971233106417,7130.918969337679
2022-11-01,20485.2734375,7118.330282558226,0.9991263448654132,7124.554686341593,6993.735851621374,6990.603777432059,7126.515211280193
2022-11-02,20159.50390625,7004.9346578016175,0.9990984584184766,7011.255596260336,6762.930918101104,6644.396377151654,7038.729547269717
2022-11-03,20209.98828125,7016.749258626938,0.9982836004043295,7028.813511295771,6793.829460065197,6690.744190097793,7050.481674843
2022-11-04,21147.23046875,7342.397841127919,0.9983169737485407,7354.77612241555,7441.341816631308,7662.012724946958,7296.760215380144
2022-11-05,21282.69140625,7426.663814757778,1.0033472346207137,7401.88795912236,7531.124357269454,7796.686535904178,7330.908618649762
2022-11-06,20926.486328125,7301.629187867711,1.0032461470221243,7278.003717772255,7278.989072338581,7418.483608507868,7235.010047200101
2022-11-07,20602.81640625,7187.605326143901,1.0030940867760747,7165.434848932994,7049.552073750698,7074.328110626043,7147.744671359081
2022-11-08,18541.271484375,6438.5212129221,0.9984599721509717,6448.452008598464,5611.717321876478,4917.575982814715,6598.890145006111
2022-11-09,15880.7802734375,5135.725357167428,0.9298523542770538,5523.162181118933,3757.8237696087463,2136.735654413116,5324.455809729117
2022-11-10,17586.771484375,5687.414367067464,0.9298497766615951,6116.48731850727,4940.804151994315,3911.20622799147,6137.679856723133
2022-11-11,17034.29296875,5509.698162924631,0.9300102524270808,5924.341316179878,4552.957542549823,3329.4363138247318,5871.059890710411
2022-11-12,16799.185546875,5464.880168372363,0.9353549682571635,5842.573518965763,4385.916404010211,3078.874606015314,5756.229693421986
2022-11-13,16353.365234375,5312.1460513068505,0.9340000759376049,5687.522076456154,4072.40100574512,2608.6015086176767,5540.707724699279
2022-11-14,16618.19921875,5420.957774292526,0.9379422610214311,5779.628447905774,4253.145971575618,2879.718957363423,5664.958434833681
2022-11-15,16884.61328125,5500.695177204788,0.93672152884057,5872.284353294719,4434.934411741532,3152.401617612294,5789.926467448334
2022-11-16,16669.439453125,5403.294383714018,0.9320123657178696,5797.449242588327,4281.785720783195,2922.678581174788,5684.646447502591
2022-11-17,16687.517578125,5409.12435041324,0.9320072062348195,5803.7366173007995,4290.878228237759,2936.317342356635,5690.896970182107
2022-11-18,16697.77734375,5416.433327118052,0.9326931279239731,5807.3048518907535,4294.530314506534,2941.795471759797,5693.407548057858
2022-11-19,16711.546875,5420.3289237567815,0.9325948895286781,5812.093744687095,4300.620843852403,2950.9312657786004,5697.594401024087
2022-11-20,16291.83203125,5279.676987356138,0.9317973481195334,5666.121499498889,4005.2766805762913,2507.9150208644332,5494.56400483855
2022-11-21,15787.2841796875,5119.000679789847,0.932313132237364,5490.645259393993,3651.0298132108637,1976.544719816292,5251.041732277338
2022-11-22,16189.76953125,5242.279251947765,0.9310296806864866,5630.625275106608,3927.611469471029,2391.4172042065393,5439.541741648128
2022-11-23,16610.70703125,5415.260652796089,0.9373791466879464,5777.022746804106,4216.940199217943,2825.4102988269096,5722.315052311781
2022-11-24,16604.46484375,5417.4099431096265,0.938103720675576,5774.851782069764,4209.133358680018,2813.7000380200234,5714.685094005659
2022-11-25,16521.841796875,5390.0698962532415,0.938037020623449,5746.116387464998,4148.2148996380065,2722.322349457005,5655.146885135403
2022-11-26,16464.28125,5370.701024646637,0.9379339183369148,5726.097457025146,4104.7413802840865,2657.1120704261257,5612.658360042642
2022-11-27,16444.626953125,5366.317577614817,0.9382884828403543,5719.2619069244965,4087.6387229386332,2631.458084407946,5595.943203400749
2022-11-28,16217.322265625,5292.091519253592,0.9382795266142273,5640.207815628307,3926.146415656877,2389.219623485311,5438.1098820547495
2022-11-29,16444.982421875,5386.377807534109,0.9417756111207412,5719.385535078955,4081.0702232371264,2621.605334855685,5589.52352842304
2022-11-30,17168.56640625,5629.038479595944,0.9427232668079433,5971.040153337727,4580.796835662668,3371.195253493998,6077.927665633719
2022-12-01,16967.1328125,5603.675172085498,0.9496171169094842,5900.983746294067,4437.1434313275695,3155.7151469913506,5937.529065164718
2022-12-02,17088.66015625,5666.141294882018,0.9533742727671607,5943.249631056324,4518.109251073451,3277.163876610172,6016.660414893335
2022-12-03,16908.236328125,5618.182526020659,0.9553919468064443,5880.500191361633,4389.082071569252,3083.623107353874,5890.55664792242
2022-12-04,17130.486328125,5689.000248990178,0.9548833068203482,5957.796317472443,4540.099646000388,3310.1494690005775,6038.152565989877
2022-12-05,16974.826171875,5625.057642294153,0.9528086308836516,5903.659412779852,4428.283640967538,3142.4254614513025,5928.870014077454
2022-12-06,17089.50390625,5664.254769005759,0.9530097947590561,5943.54307810427,4504.4848457695125,3256.727268654263,6001.5436989469645
2022-12-07,16848.126953125,5583.483932686867,0.9528788452549395,5859.594806297778,4333.072545272748,2999.608817909117,5782.074049668093
2022-12-08,17233.474609375,5711.126002809706,0.9528684210828442,5993.6145184867755,4597.515800939654,3396.2737014094746,6120.656919200693
2022-12-09,17133.15234375,5677.401463933054,0.9527881997971356,5958.723528630883,4524.15858711069,3286.2378806660286,6026.733192930991
2022-12-10,17128.724609375,5679.98486928347,0.9534681554696665,5957.183610904741,4517.504441491862,3276.2566622377867,6018.2134834295
2022-12-11,17104.193359375,5672.0723805762655,0.953505511279141,5948.651909695941,4496.8718479284435,3245.3077718926606,5991.796312316612
2022-12-12,17206.4375,5703.488889326018,0.9530894878201408,5984.211306716599,4564.400115185731,3346.6001727785915,6078.256881881434
2022-12-13,17781.318359375,5860.520477612631,0.9476681200269051,6184.148599877187,4960.56421234698,3940.846318520465,6585.489998809946
2022-12-14,17815.650390625,5901.69786542065,0.952487602265628,6196.088905916064,4980.727171081183,3971.0907566217693,6611.305867735311
2022-12-15,17364.865234375,5783.622209785466,0.9576626297416413,6039.310744897476,4663.547262597071,3495.320893895599,6205.201037034279
2022-12-16,16647.484375,5544.467578387268,0.9576245543615678,5789.813505861566,4161.078896421734,2741.618344632594,5561.860064544906
2022-12-17,16795.091796875,5585.9956281963905,0.9563178244411981,5841.149757362765,4260.246709569714,2890.370064354565,5688.830679303972
