date,w5_btc,w5_strategy,w5_lev
2022-12-25,16841.986328125,6412.761021786933,1.5
2022-12-26,16919.8046875,6455.776244698401,1.5
2022-12-27,16717.173828125,6332.9876473191525,1.5
2022-12-28,16552.572265625,6232.716349197388,1.5
2022-12-29,16642.341796875,6282.847954477472,1.5
2022-12-30,16602.5859375,6256.393563940416,1.5
2022-12-31,16547.49609375,6220.8814067819385,1.5
2023-01-01,16625.080078125,6263.810319674928,1.5
2023-01-02,16688.470703125,6298.334940230534,1.5
2023-01-03,16679.857421875,6290.2825745701075,1.5
2023-01-04,16863.23828125,6395.730756962177,1.5
2023-01-05,16836.736328125,6377.072342119259,1.5
2023-01-06,16951.96875,6442.206147559242,1.5
2023-01-07,16955.078125,6441.036988172697,1.5
2023-01-08,17091.14453125,6518.465992257749,1.5
2023-01-09,17196.5546875,6577.748146998898,1.5
2023-01-10,17446.29296875,6722.332438762542,1.5
2023-01-11,17934.896484375,7006.620585852548,1.5
2023-01-12,18869.587890625,7487.407406478566,1.5
2023-01-13,19909.57421875,8021.494069810151,1.5
2023-01-14,20976.298828125,8459.656705675554,1.5
2023-01-15,20880.798828125,8425.951441593752,1.5
2023-01-16,21169.6328125,8519.512473766874,1.5
2023-01-17,21161.51953125,8514.722611728528,1.5
2023-01-18,20688.78125,8356.091594412954,1.5
2023-01-19,21086.79296875,8485.821540374662,1.5
2023-01-20,22676.552734375,9009.360508795417,1.5
2023-01-21,22777.625,9034.330770690758,1.5
2023-01-22,22720.416015625,9017.366200659299,1.5
2023-01-23,22934.431640625,9072.250312090757,1.5
2023-01-24,22636.46875,8991.500465993871,1.5
2023-01-25,23117.859375,9117.215669140305,1.5
2023-01-26,23032.77734375,9092.840819228535,1.5
2023-01-27,23078.728515625,9102.570339393767,1.5
2023-01-28,23031.08984375,9091.007583992932,1.5
2023-01-29,23774.56640625,9247.093379485343,1.5
2023-01-30,22840.138671875,9047.566576537642,1.5
2023-01-31,23139.283203125,9109.505950215469,1.5
2023-02-01,23723.76953125,9231.893186179794,1.5
2023-02-02,23471.87109375,9177.004648850014,1.5
2023-02-03,23449.322265625,9170.733690706076,1.5
2023-02-04,23331.84765625,9143.85383471665,1.5
2023-02-05,22955.666015625,9078.893423814701,1.5
2023-02-06,22760.109375,9044.573199042248,1.5
2023-02-07,23264.291015625,9128.888361023202,1.5
2023-02-08,22939.3984375,9072.626334319762,1.5
2023-02-09,21819.0390625,8881.156700539079,1.5
2023-02-10,21651.18359375,8857.50368626123,1.5
2023-02-11,21870.875,8886.417632421462,1.5
2023-02-12,21788.203125,8874.31533202905,1.5
2023-02-13,21808.1015625,8876.127252489585,1.5
2023-02-14,22220.8046875,8930.910115536664,1.5
2023-02-15,24307.841796875,9156.626203812626,1.5
2023-02-16,23623.474609375,9081.58221417014,1.5
2023-02-17,24565.6015625,9182.765433519873,1.5
2023-02-18,24641.27734375,9188.694107776912,1.5
2023-02-19,24327.642578125,9160.829244340362,1.5
2023-02-20,24829.1484375,9203.725523407646,1.5
2023-02-21,24436.353515625,9168.984784612036,1.5
2023-02-22,24188.84375,9146.8648088697,1.5
2023-02-23,23947.4921875,9125.285802818857,1.5
2023-02-24,23198.126953125,9059.416848460392,1.5
2023-02-25,23175.375,9057.353580391436,1.5
2023-02-26,23561.212890625,9083.662770699726,1.5
2023-02-27,23522.87109375,9080.509396803385,1.5
2023-02-28,23147.353515625,9053.943743669242,1.5
2023-03-01,23646.55078125,9088.125055698581,1.5
2023-03-02,23475.466796875,9075.7524466854,1.5
2023-03-03,22362.6796875,8997.837347009738,1.5
2023-03-04,22353.349609375,8996.946258725497,1.5
2023-03-05,22435.513671875,9001.137919895591,1.5
2023-03-06,22429.7578125,9000.44416898579,1.5
2023-03-07,22219.76953125,8988.405192257605,1.5
2023-03-08,21718.080078125,8959.53514976499,1.5
2023-03-09,20363.021484375,8834.963915360639,1.5
2023-03-10,20187.244140625,8821.670979628589,1.5
2023-03-11,20632.41015625,8853.762332981145,1.5
2023-03-12,22163.94921875,8965.0773484015,1.5
2023-03-13,24197.533203125,9083.584892134733,1.5
2023-03-14,24746.07421875,9115.086856770746,1.5
2023-03-15,24375.9609375,9097.428152456621,1.5
2023-03-16,25052.7890625,9128.74339204049,1.5
2023-03-17,27423.9296875,9239.297466686852,1.5
2023-03-18,26965.87890625,9217.488061571239,1.5
2023-03-19,28038.67578125,9267.287654966027,1.5
2023-03-20,27767.236328125,9254.19802108663,1.5
2023-03-21,28175.81640625,9272.918853682557,1.5
2023-03-22,27307.4375,9231.906555441914,1.5
2023-03-23,28333.97265625,9279.537548290516,1.5
2023-03-24,27493.28515625,9239.818244481803,1.5
2023-03-25,27494.70703125,9239.49885000952,1.5
2023-03-26,27994.330078125,9262.48187443299,1.5
2023-03-27,27139.888671875,9222.124024360832,1.5
2023-03-28,27268.130859375,9227.741375897462,1.5
2023-03-29,28348.44140625,9277.888164948985,1.5
2023-03-30,28033.5625,9262.762383031928,1.5
2023-03-31,28478.484375,9283.179297800465,1.5
2023-04-01,28411.03515625,9279.624756821046,1.5
2023-04-02,28199.30859375,9269.322856522642,1.5
2023-04-03,27790.220703125,9249.792716765052,1.5
2023-04-04,28168.08984375,9267.076779418538,1.5
2023-04-05,28177.984375,9267.144206115978,1.5
2023-04-06,28044.140625,9260.488401537414,1.5
2023-04-07,27925.859375,9254.56238277973,1.5
2023-04-08,27947.794921875,9255.196405709052,1.5
2023-04-09,28333.05078125,9272.823756740821,1.5
2023-04-10,29652.98046875,9334.163340759256,1.5
2023-04-11,30235.05859375,9360.972755174573,1.5
2023-04-12,30139.052734375,9356.0578745687,1.5
2023-04-13,30399.06640625,9367.796496962337,1.5
2023-04-14,30485.69921875,9371.421900573287,1.5
2023-04-15,30318.49609375,9363.173381450137,1.5
2023-04-16,30315.35546875,9362.600929372238,1.5
2023-04-17,29445.044921875,9321.4682513075,1.5
2023-04-18,30397.552734375,9365.60674820529,1.5
2023-04-19,28822.6796875,9291.518307904324,1.5
2023-04-20,28245.98828125,9264.140073796556,1.5
2023-04-21,27276.91015625,9218.416770805296,1.5
2023-04-22,27817.5,9243.318998453471,1.5
2023-04-23,27591.384765625,9232.352425578825,1.5
2023-04-24,27525.33984375,9228.87601945854,1.5
2023-04-25,28307.59765625,9265.078332606292,1.5
2023-04-26,28422.701171875,9270.06475690797,1.5
2023-04-27,29473.787109375,9318.828413150453,1.5
2023-04-28,29340.26171875,9312.169311153462,1.5
2023-04-29,29248.48828125,9307.464953765624,1.5
2023-04-30,29268.806640625,9308.004771113101,1.5
2023-05-01,28091.568359375,9252.530805174076,1.5
2023-05-02,28680.537109375,9279.684432060325,1.5
2023-05-03,29006.30859375,9294.519226528804,1.5
2023-05-04,28847.7109375,9286.693977256607,1.5
2023-05-05,29534.384765625,9318.40696522183,1.5
2023-05-06,28904.623046875,9288.5364757475,1.5
2023-05-07,28454.978515625,9267.099474192686,1.5
2023-05-08,27694.2734375,9230.594509278402,1.5
2023-05-09,27658.775390625,9226.884987767962,1.5
2023-05-10,27621.755859375,9223.047536250326,1.5
2023-05-11,27000.7890625,9169.765164114946,1.5
2023-05-12,26804.990234375,9152.499760774373,1.5
2023-05-13,26784.078125,9150.04790353679,1.5
2023-05-14,26930.638671875,9161.777361148545,1.5
2023-05-15,27192.693359375,9182.495097153274,1.5
2023-05-16,27036.650390625,9159.083495144234,1.5
2023-05-17,27398.802734375,9209.561298931401,1.5
2023-05-18,26832.208984375,9127.605782547867,1.5
2023-05-19,26890.12890625,9134.715789720762,1.5
2023-05-20,27129.5859375,9167.706333876498,1.5
2023-05-21,26753.826171875,9112.97087180591,1.5
2023-05-22,26851.27734375,9124.539246107033,1.5
2023-05-23,27225.7265625,9209.004923516186,1.5
2023-05-24,26334.818359375,9001.736794478686,1.5
2023-05-25,26476.20703125,9032.509822041435,1.5
2023-05-26,26719.291015625,9086.717294874607,1.5
2023-05-27,26868.353515625,9119.232802508024,1.5
2023-05-28,28085.646484375,9398.001435502998,1.5
2023-05-29,27745.884765625,9315.959967361876,1.5
2023-05-30,27702.349609375,9297.382402141902,1.5
2023-05-31,27219.658203125,9121.496933675457,1.5
2023-06-01,26819.97265625,8975.397339871553,1.5
2023-06-02,27249.58984375,9126.409818776769,1.5
2023-06-03,27075.12890625,9060.985957304323,1.5
2023-06-04,27119.06640625,9073.814559045333,1.5
2023-06-05,25760.09765625,8582.27279616173,1.5
2023-06-06,27238.783203125,9317.306815225676,1.5
2023-06-07,26345.998046875,8867.098886117044,1.5
2023-06-08,26508.216796875,8944.208641096044,1.5
2023-06-09,26480.375,8926.321111722365,1.5
2023-06-10,25851.240234375,8607.972598444421,1.5
2023-06-11,25940.16796875,8648.533138365525,1.5
2023-06-12,25902.5,8625.820667716092,1.5
2023-06-13,25918.728515625,8630.045834751907,1.5
2023-06-14,25124.67578125,8229.372291069067,1.5
2023-06-15,25576.39453125,8451.327887432357,1.5
2023-06-16,26327.462890625,8822.800279566394,1.5
2023-06-17,26510.67578125,8910.403553310645,1.5
