date,btc,v4_mechanical,v7b_balanced
2018-09-01,7193.25,6999.203791469195,7000.0
2018-09-02,7272.72021484375,7016.3136326231615,7000.0
2018-09-03,7260.06005859375,7013.02880839672,7000.0
2018-09-04,7361.66015625,7035.031780488447,7000.0
2018-09-05,6792.830078125,6907.4606801319715,7000.0
2018-09-06,6529.169921875,6753.465376371453,6999.203791469195
2018-09-07,6467.06982421875,6681.626695235345,6983.584847873946
2018-09-08,6225.97998046875,6406.395820480748,6924.329246898338
2018-09-09,6300.85986328125,6551.280021863806,6942.13088559485
2018-09-10,6329.7001953125,6604.7586691984925,6948.70170248684
2018-09-11,6321.2001953125,6584.1219235322005,6946.166105874399
2018-09-12,6351.7998046875,6641.079571179515,6953.164380736266
2018-09-13,6517.31005859375,6965.735910029997,6991.859957863036
2018-09-14,6512.7099609375,6952.72641571386,6987.859466835275
2018-09-15,6543.2001953125,7009.352975519625,7005.27244530554
2018-09-16,6517.18017578125,6953.8223341250105,6988.196467772009
2018-09-17,6281.2001953125,6481.662282830381,6843.004656086577
2018-09-18,6371.2998046875,6656.715651986238,6896.834529536666
2018-09-19,6398.5400390625,6706.977115875094,6912.290206017502
2018-09-20,6519.669921875,6943.537136817675,6983.24224385819
2018-09-21,6734.9501953125,7366.857220848897,7230.614173049349
2018-09-22,6721.97998046875,7337.108447182556,7213.23013716134
2018-09-23,6710.6298828125,7310.582360580033,7197.729315290876
2018-09-24,6595.41015625,7077.943964086771,7061.784409496538
2018-09-25,6446.47021484375,6778.4597289615895,6886.777373922504
2018-09-26,6495.0,6870.923449837046,6940.809605975703
2018-09-27,6676.75,7227.720692954277,7146.62094900368
2018-09-28,6644.1298828125,7159.0132777102035,7078.609184063372
2018-09-29,6601.9599609375,7071.374638999099,6991.857870911297
2018-09-30,6625.56005859375,7114.275251441357,7034.324122317397
2018-10-01,6589.6201171875,7039.010454919216,6959.821368412889
2018-10-02,6556.10009765625,6968.569157700616,6890.093276743263
2018-10-03,6502.58984375,6858.479166416676,6781.117926951892
2018-10-04,6576.68994140625,7001.6512398631885,6918.917415390802
2018-10-05,6622.47998046875,7088.600658176578,7057.243788005285
2018-10-06,6588.31005859375,7016.8501256168865,6943.09706805407
2018-10-07,6602.9501953125,7041.978704789198,6983.073703588691
2018-10-08,6652.22998046875,7135.8375432474,7132.392156932877
2018-10-09,6642.64013671875,7112.846043567,7095.815365351662
2018-10-10,6585.52978515625,6995.56047782939,6909.227724131953
2018-10-11,6256.240234375,6338.1960538304165,5863.437677212401
2018-10-12,6274.580078125,6370.864085251379,5915.4087009934965
2018-10-13,6285.990234375,6389.769911609629,5945.485663348671
2018-10-14,6290.93017578125,6395.82943785146,5955.125662109485
2018-10-15,6596.5400390625,6998.5359284512,6913.961318667628
2018-10-16,6596.10986328125,6993.754052833204,6906.353912875138
2018-10-17,6544.43017578125,6887.272814867961,6736.9546956642325
2018-10-18,6476.7099609375,6748.991502277769,6516.965272594967
2018-10-19,6465.41015625,6722.71127521929,6475.156499735993
2018-10-20,6489.18994140625,6766.049775137426,6544.102993048021
2018-10-21,6482.35009765625,6748.612470356737,6516.362277063098
2018-10-22,6487.16015625,6754.297324789805,6525.406216721595
2018-10-23,6475.740234375,6727.772513896912,6483.208339538855
2018-10-24,6495.83984375,6763.8019151613225,6540.526910278622
2018-10-25,6476.2900390625,6721.1389821943,6472.655165108889
2018-10-26,6474.75,6714.226300761109,6461.657896050154
2018-10-27,6480.3798828125,6721.542541624752,6473.297181044492
2018-10-28,6486.39013671875,6729.610238945473,6486.131945524512
2018-10-29,6332.6298828125,6420.625488799239,5994.573284063756
2018-10-30,6334.27001953125,6420.109103116235,5993.751774733554
2018-10-31,6317.60986328125,6383.2766081349155,5935.1555756567095
2018-11-01,6377.77978515625,6498.915772411329,6119.123984379962
2018-11-02,6388.43994140625,6516.27184215061,6146.735464898735
2018-11-03,6361.259765625,6458.531144315055,6054.876756252362
2018-11-04,6376.1298828125,6484.251305381169,6095.7945295089075
2018-11-05,6419.66015625,6566.835874278583,6227.176936327737
2018-11-06,6461.009765625,6645.067207447533,6351.633853371764
2018-11-07,6530.14013671875,6778.4021079238055,6563.754112294253
2018-11-08,6453.72021484375,6622.865591560256,6316.313674681228
2018-11-09,6385.6201171875,6483.884456574334,6095.210915889268
2018-11-10,6409.22021484375,6526.9138992121925,6163.665735152867
2018-11-11,6411.27001953125,6527.16484986699,6164.0649683444935
2018-11-12,6371.27001953125,6443.970875681185,6031.713068863951
2018-11-13,6359.490234375,6416.800963958109,5988.488911580196
2018-11-14,5738.35009765625,5178.347016455087,4021.554885058895
2018-11-15,5648.02978515625,4929.142047642151,3730.981707323113
2018-11-16,5575.5498046875,4728.313230268848,3496.8151579037735
2018-11-17,5554.330078125,4666.33063440357,3424.543405335284
2018-11-18,5623.5400390625,4849.204001386973,3637.773886335432
2018-11-19,4871.490234375,2808.4572049514168,1250.5697775271192
2018-11-20,4451.8701171875,1668.3760850342378,1250.5697775271192
2018-11-21,4602.169921875,2071.696254646208,1250.5697775271192
2018-11-22,4365.93994140625,1428.3634469178123,1250.5697775271192
2018-11-23,4347.10986328125,1373.8336350901263,1250.5697775271192
2018-11-24,3880.760009765625,0.0,1250.5697775271192
2018-11-25,4009.969970703125,0.0,1250.5697775271192
2018-11-26,3779.1298828125,0.0,1250.5697775271192
2018-11-27,3820.719970703125,0.0,1250.5697775271192
2018-11-28,4257.419921875,0.0,1250.5697775271192
2018-11-29,4278.8466796875,0.0,1250.5697775271192
2018-11-30,4017.2685546875,0.0,1250.5697775271192
2018-12-01,4214.671875,0.0,1250.5697775271192
2018-12-02,4139.8779296875,0.0,1250.5697775271192
2018-12-03,3894.130859375,0.0,1250.5697775271192
2018-12-04,3956.893798828125,0.0,1250.5697775271192
2018-12-05,3753.994873046875,0.0,1250.5697775271192
2018-12-06,3521.101806640625,0.0,1250.5697775271192
2018-12-07,3419.937255859375,0.0,1250.5697775271192
2018-12-08,3476.11474609375,0.0,1250.5697775271192
2018-12-09,3614.234375,0.0,1250.5697775271192
2018-12-10,3502.656005859375,0.0,1250.5697775271192
2018-12-11,3424.588134765625,0.0,1250.5697775271192
2018-12-12,3486.9501953125,0.0,1250.5697775271192
2018-12-13,3313.67724609375,0.0,1250.5697775271192
2018-12-14,3242.48486328125,0.0,1250.5697775271192
2018-12-15,3236.76171875,0.0,1250.5697775271192
2018-12-16,3252.839111328125,0.0,1250.5697775271192
2018-12-17,3545.86474609375,0.0,1250.5697775271192
2018-12-18,3696.05908203125,0.0,1250.5697775271192
2018-12-19,3745.95068359375,0.0,1250.5697775271192
2018-12-20,4134.44140625,0.0,1250.5697775271192
2018-12-21,3896.543701171875,0.0,1250.5697775271192
2018-12-22,4014.1826171875,0.0,1250.5697775271192
2018-12-23,3998.980224609375,0.0,1250.5697775271192
2018-12-24,4078.59912109375,0.0,1250.5697775271192
