tol%,d%,buy_rsi,trim_rsi,ab200,deep_OS,stop_dd,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w,any_liq,max_dd_any%,stops_total
1.0,33,50,0,0.95,0.7,0.2,0.9855327201693019,1.2067568406379388,0.9930792486146508,1.0430418131771308,1.3248019390100754,1.0535232166267476,0.9855327201693019,False,8.961376568152946,1
1.0,33,50,0,0.95,0.7,0.25,0.9800762096679511,1.2067568406379388,0.9930792486146508,1.0430418131771308,1.3248019390100754,1.0520619423334727,0.9800762096679511,False,8.961376568152946,1
1.0,33,50,0,0.95,0.7,0.3,0.9780816445808661,1.2067568406379388,0.9930792486146508,1.0430418131771308,1.3248019390100754,1.0515262673173027,0.9780816445808661,False,8.961376568152946,1
1.0,33,50,0,0.95,0.8,0.2,0.9855327201693019,1.2067568406379388,0.9930792486146508,1.0430418131771308,1.3248019390100754,1.0535232166267476,0.9855327201693019,False,8.961376568152946,1
1.0,33,50,0,0.95,0.8,0.25,0.9800762096679511,1.2067568406379388,0.9930792486146508,1.0430418131771308,1.3248019390100754,1.0520619423334727,0.9800762096679511,False,8.961376568152946,1
1.0,33,50,0,0.95,0.8,0.3,0.9780816445808661,1.2067568406379388,0.9930792486146508,1.0430418131771308,1.3248019390100754,1.0515262673173027,0.9780816445808661,False,8.961376568152946,1
1.0,33,50,0,1.0,0.7,0.2,1.0,1.1303995654233534,1.0,1.0430418131771308,1.1891059818285048,1.0420376843949875,1.0,False,5.97611673664079,0
1.0,33,50,0,1.0,0.7,0.25,1.0,1.1303995654233534,1.0,1.0430418131771308,1.1891059818285048,1.0420376843949875,1.0,False,5.97611673664079,0
1.0,33,50,0,1.0,0.7,0.3,1.0,1.1303995654233534,1.0,1.0430418131771308,1.1891059818285048,1.0420376843949875,1.0,False,5.97611673664079,0
1.0,33,50,0,1.0,0.8,0.2,1.0,1.1303995654233534,1.0,1.0430418131771308,1.1891059818285048,1.0420376843949875,1.0,False,5.97611673664079,0
1.0,33,50,0,1.0,0.8,0.25,1.0,1.1303995654233534,1.0,1.0430418131771308,1.1891059818285048,1.0420376843949875,1.0,False,5.97611673664079,0
1.0,33,50,0,1.0,0.8,0.3,1.0,1.1303995654233534,1.0,1.0430418131771308,1.1891059818285048,1.0420376843949875,1.0,False,5.97611673664079,0
1.0,33,50,50,0.95,0.7,0.2,0.9855327201693019,1.2514867509843506,0.9930792486146508,1.0417222741454553,1.3747660932194024,1.0628165053542151,0.9855327201693019,False,9.63253950898466,1
1.0,33,50,50,0.95,0.7,0.25,0.9800762096679511,1.2514867509843506,0.9930792486146508,1.0417222741454553,1.3747660932194024,1.0613423409378722,0.9800762096679511,False,9.63253950898466,1
1.0,33,50,50,0.95,0.7,0.3,0.9780816445808661,1.2514867509843506,0.9930792486146508,1.0417222741454553,1.3747660932194024,1.0608019406508102,0.9780816445808661,False,9.63253950898466,1
1.0,33,50,50,0.95,0.8,0.2,0.9855327201693019,1.2514867509843506,0.9930792486146508,1.0417222741454553,1.3747660932194024,1.0628165053542151,0.9855327201693019,False,9.63253950898466,1
1.0,33,50,50,0.95,0.8,0.25,0.9800762096679511,1.2514867509843506,0.9930792486146508,1.0417222741454553,1.3747660932194024,1.0613423409378722,0.9800762096679511,False,9.63253950898466,1
1.0,33,50,50,0.95,0.8,0.3,0.9780816445808661,1.2514867509843506,0.9930792486146508,1.0417222741454553,1.3747660932194024,1.0608019406508102,0.9780816445808661,False,9.63253950898466,1
1.0,33,50,50,1.0,0.7,0.2,1.0,1.1756214987568727,1.0,1.0417222741454553,1.239158825174838,1.0519736640052726,1.0,False,6.566857806387083,0
1.0,33,50,50,1.0,0.7,0.25,1.0,1.1756214987568727,1.0,1.0417222741454553,1.239158825174838,1.0519736640052726,1.0,False,6.566857806387083,0
1.0,33,50,50,1.0,0.7,0.3,1.0,1.1756214987568727,1.0,1.0417222741454553,1.239158825174838,1.0519736640052726,1.0,False,6.566857806387083,0
1.0,33,50,50,1.0,0.8,0.2,1.0,1.1756214987568727,1.0,1.0417222741454553,1.239158825174838,1.0519736640052726,1.0,False,6.566857806387083,0
1.0,33,50,50,1.0,0.8,0.25,1.0,1.1756214987568727,1.0,1.0417222741454553,1.239158825174838,1.0519736640052726,1.0,False,6.566857806387083,0
1.0,33,50,50,1.0,0.8,0.3,1.0,1.1756214987568727,1.0,1.0417222741454553,1.239158825174838,1.0519736640052726,1.0,False,6.566857806387083,0
1.0,33,55,0,0.95,0.7,0.2,0.9680533235069092,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.0674910822818766,0.9680533235069092,False,9.849651032253782,1
1.0,33,55,0,0.95,0.7,0.25,0.9542753239250447,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.06367232320268,0.9542753239250447,False,9.849651032253782,1
1.0,33,55,0,0.95,0.7,0.3,0.9492389335563183,1.2950070022324152,0.9930792486146508,1.0430418131771308,1.4268439157672195,1.062266097957706,0.9492389335563183,False,9.849651032253782,1
